# rho at max Q =   20.000
# max Q        = 2520.000
# simulation timestep (model parameter for iterated map models) = 1.000
# rho[1/km],     s[m], vEq[km/h], Q[veh/h]
    0.00,     0.00,   126.00,     0.00
    3.33,   294.00,   126.00,   420.00
    6.67,   144.00,   126.00,   840.00
   10.00,    94.00,   126.00,  1260.00
   13.33,    69.00,   126.00,  1680.00
   16.67,    54.00,   126.00,  2100.00
   20.00,    44.00,   126.00,  2520.00
   23.33,    36.86,   104.57,  2440.00
   26.67,    31.50,    88.50,  2360.00
   30.00,    27.33,    76.00,  2280.00
   33.33,    24.00,    66.00,  2200.00
   36.67,    21.27,    57.82,  2120.00
   40.00,    19.00,    51.00,  2040.00
   43.33,    17.08,    45.23,  1960.00
   46.67,    15.43,    40.29,  1880.00
   50.00,    14.00,    36.00,  1800.00
   53.33,    12.75,    32.25,  1720.00
   56.67,    11.65,    28.94,  1640.00
   60.00,    10.67,    26.00,  1560.00
   63.33,     9.79,    23.37,  1480.00
   66.67,     9.00,    21.00,  1400.00
   70.00,     8.29,    18.86,  1320.00
   73.33,     7.64,    16.91,  1240.00
   76.67,     7.04,    15.13,  1160.00
   80.00,     6.50,    13.50,  1080.00
   83.33,     6.00,    12.00,  1000.00
   86.67,     5.54,    10.62,   920.01
   90.00,     5.11,     9.33,   840.01
   93.33,     4.71,     8.14,   760.01
   96.67,     4.34,     7.03,   680.02
  100.00,     4.00,     6.00,   600.03
  103.33,     3.68,     5.03,   520.05
  106.67,     3.38,     4.13,   440.10
  110.00,     3.09,     3.27,   360.19
  113.33,     2.82,     2.47,   280.40
  116.67,     2.57,     1.72,   200.90
  120.00,     2.33,     1.02,   122.25
  123.33,     2.11,     0.37,    46.16
  126.67,     1.89,     0.00,     0.00
  130.00,     1.69,     0.00,     0.00
  133.33,     1.50,     0.00,     0.00
  136.67,     1.32,     0.00,     0.00
  140.00,     1.14,     0.00,     0.00
  143.33,     0.98,     0.00,     0.00
  146.67,     0.82,     0.00,     0.00
  150.00,     0.67,     0.00,     0.00
  153.33,     0.52,     0.00,     0.00
  156.67,     0.38,     0.00,     0.00
  160.00,     0.25,     0.00,     0.00
  163.33,     0.12,     0.00,     0.00
  166.67,     0.00,     0.00,     0.00
