# rho at max Q =   23.333
# max Q        = 2799.720
# simulation timestep (model parameter for iterated map models) = 1.000
# rho[1/km],     s[m], vEq[km/h], Q[veh/h]
    0.00,     0.00,   119.99,     0.00
    3.33,   294.00,   119.99,   399.96
    6.67,   144.00,   119.99,   799.92
   10.00,    94.00,   119.99,  1199.88
   13.33,    69.00,   119.99,  1599.84
   16.67,    54.00,   119.99,  1999.80
   20.00,    44.00,   119.99,  2399.76
   23.33,    36.86,   119.99,  2799.72
   26.67,    31.50,   102.64,  2737.13
   30.00,    27.33,    87.64,  2629.13
   33.33,    24.00,    75.63,  2521.04
   36.67,    21.27,    65.81,  2412.97
   40.00,    19.00,    57.62,  2304.91
   43.33,    17.08,    50.70,  2196.87
   46.67,    15.43,    44.76,  2088.84
   50.00,    14.00,    39.62,  1980.81
   53.33,    12.75,    35.11,  1872.80
   56.67,    11.65,    31.14,  1764.79
   60.00,    10.67,    27.61,  1656.79
   63.33,     9.79,    24.45,  1548.80
   66.67,     9.00,    21.61,  1440.81
   70.00,     8.29,    19.04,  1332.84
   73.33,     7.64,    16.70,  1224.88
   76.67,     7.04,    14.57,  1116.93
   80.00,     6.50,    12.61,  1009.01
   83.33,     6.00,    10.81,   901.11
   86.67,     5.54,     9.15,   793.25
   90.00,     5.11,     7.62,   685.46
   93.33,     4.71,     6.19,   577.77
   96.67,     4.34,     4.86,   470.26
  100.00,     4.00,     3.63,   363.10
  103.33,     3.68,     2.48,   256.67
  106.67,     3.38,     1.43,   152.05
  110.00,     3.09,     0.48,    52.71
  113.33,     2.82,     0.00,     0.00
  116.67,     2.57,     0.00,     0.00
  120.00,     2.33,     0.00,     0.00
  123.33,     2.11,     0.00,     0.00
  126.67,     1.89,     0.00,     0.00
  130.00,     1.69,     0.00,     0.00
  133.33,     1.50,     0.00,     0.00
  136.67,     1.32,     0.00,     0.00
  140.00,     1.14,     0.00,     0.00
  143.33,     0.98,     0.00,     0.00
  146.67,     0.82,     0.00,     0.00
  150.00,     0.67,     0.00,     0.00
  153.33,     0.52,     0.00,     0.00
  156.67,     0.38,     0.00,     0.00
  160.00,     0.25,     0.00,     0.00
  163.33,     0.12,     0.00,     0.00
  166.67,     0.00,     0.00,     0.00
