# rho at max Q =   30.000
# max Q        = 2148.172
# simulation timestep (model parameter for iterated map models) = 1.000
# rho[1/km],     s[m], vEq[km/h], Q[veh/h]
    0.00,     0.00,   126.00,     0.00
    3.33,   294.00,   125.30,   417.65
    6.67,   144.00,   123.09,   820.59
   10.00,    94.00,   119.26,  1192.63
   13.33,    69.00,   113.79,  1517.17
   16.67,    54.00,   106.76,  1779.40
   20.00,    44.00,    98.49,  1969.84
   23.33,    36.86,    89.48,  2087.87
   26.67,    31.50,    80.34,  2142.35
   30.00,    27.33,    71.61,  2148.17
   33.33,    24.00,    63.62,  2120.69
   36.67,    21.27,    56.51,  2072.16
   40.00,    19.00,    50.27,  2010.92
   43.33,    17.08,    44.82,  1942.16
   46.67,    15.43,    40.05,  1868.95
   50.00,    14.00,    35.86,  1793.10
   53.33,    12.75,    32.17,  1715.66
   56.67,    11.65,    28.89,  1637.26
   60.00,    10.67,    25.97,  1558.27
   63.33,     9.79,    23.35,  1478.90
   66.67,     9.00,    20.99,  1399.31
   70.00,     8.29,    18.85,  1319.57
   73.33,     7.64,    16.91,  1239.73
   76.67,     7.04,    15.13,  1159.83
   80.00,     6.50,    13.50,  1079.90
   83.33,     6.00,    12.00,   999.94
   86.67,     5.54,    10.62,   919.97
   90.00,     5.11,     9.33,   839.99
   93.33,     4.71,     8.14,   760.00
   96.67,     4.34,     7.03,   680.01
  100.00,     4.00,     6.00,   600.03
  103.33,     3.68,     5.03,   520.05
  106.67,     3.38,     4.13,   440.10
  110.00,     3.09,     3.27,   360.19
  113.33,     2.82,     2.47,   280.40
  116.67,     2.57,     1.72,   200.90
  120.00,     2.33,     1.02,   122.24
  123.33,     2.11,     0.37,    46.14
  126.67,     1.89,     0.00,     0.00
  130.00,     1.69,     0.00,     0.00
  133.33,     1.50,     0.00,     0.00
  136.67,     1.32,     0.00,     0.00
  140.00,     1.14,     0.00,     0.00
  143.33,     0.98,     0.00,     0.00
  146.67,     0.82,     0.00,     0.00
  150.00,     0.67,     0.00,     0.00
  153.33,     0.52,     0.00,     0.00
  156.67,     0.38,     0.00,     0.00
  160.00,     0.25,     0.00,     0.00
  163.33,     0.12,     0.00,     0.00
  166.67,     0.00,     0.00,     0.00
