# rho at max Q =   33.333
# max Q        = 2434.900
# simulation timestep (model parameter for iterated map models) = 1.000
# rho[1/km],     s[m], vEq[km/h], Q[veh/h]
    0.00,     0.00,   119.99,     0.00
    3.33,   294.00,   119.56,   398.52
    6.67,   144.00,   118.19,   787.95
   10.00,    94.00,   115.81,  1158.11
   13.33,    69.00,   112.34,  1497.87
   16.67,    54.00,   107.75,  1795.86
   20.00,    44.00,   102.09,  2041.73
   23.33,    36.86,    95.49,  2228.02
   26.67,    31.50,    88.21,  2352.29
   30.00,    27.33,    80.61,  2418.25
   33.33,    24.00,    73.05,  2434.90
   36.67,    21.27,    65.83,  2413.77
   40.00,    19.00,    59.15,  2365.98
   43.33,    17.08,    53.09,  2300.46
   46.67,    15.43,    47.65,  2223.57
   50.00,    14.00,    42.79,  2139.54
   53.33,    12.75,    38.46,  2051.05
   56.67,    11.65,    34.58,  1959.79
   60.00,    10.67,    31.11,  1866.79
   63.33,     9.79,    27.99,  1772.70
   66.67,     9.00,    25.17,  1677.91
   70.00,     8.29,    22.61,  1582.69
   73.33,     7.64,    20.28,  1487.19
   76.67,     7.04,    18.15,  1391.50
   80.00,     6.50,    16.20,  1295.71
   83.33,     6.00,    14.40,  1199.83
   86.67,     5.54,    12.74,  1103.92
   90.00,     5.11,    11.20,  1007.98
   93.33,     4.71,     9.77,   912.02
   96.67,     4.34,     8.44,   816.06
  100.00,     4.00,     7.20,   720.11
  103.33,     3.68,     6.04,   624.19
  106.67,     3.38,     4.95,   528.33
  110.00,     3.09,     3.93,   432.58
  113.33,     2.82,     2.97,   337.11
  116.67,     2.57,     2.08,   242.28
  120.00,     2.33,     1.24,   149.09
  123.33,     2.11,     0.49,    60.32
  126.67,     1.89,     0.00,     0.00
  130.00,     1.69,     0.00,     0.00
  133.33,     1.50,     0.00,     0.00
  136.67,     1.32,     0.00,     0.00
  140.00,     1.14,     0.00,     0.00
  143.33,     0.98,     0.00,     0.00
  146.67,     0.82,     0.00,     0.00
  150.00,     0.67,     0.00,     0.00
  153.33,     0.52,     0.00,     0.00
  156.67,     0.38,     0.00,     0.00
  160.00,     0.25,     0.00,     0.00
  163.33,     0.12,     0.00,     0.00
  166.67,     0.00,     0.00,     0.00
