# rho at max Q =   12.000
# max Q        = 1166.557
# simulation timestep (model parameter for iterated map models) = 1.000
# rho[1/km],     s[m], vEq[km/h], Q[veh/h]
    0.00,     0.00,   100.80,     0.00
    1.00,   980.00,   101.57,   101.57
    2.00,   480.00,   100.54,   201.07
    3.00,   313.33,   101.31,   303.92
    4.00,   230.00,   100.79,   403.15
    5.00,   180.00,    99.76,   498.78
    6.00,   146.67,   102.08,   612.51
    7.00,   122.86,   102.08,   714.59
    8.00,   105.00,   100.01,   800.06
    9.00,    91.11,    96.47,   868.25
   10.00,    80.00,   101.29,  1012.95
   11.00,    70.91,    99.74,  1097.19
   12.00,    63.33,    97.21,  1166.56
   13.00,    56.92,    87.49,  1137.38
   14.00,    51.43,   100.51,  1407.15
   15.00,    46.67,    84.83,  1272.47
   16.00,    42.50,    95.97,  1535.45
   17.00,    38.82,    75.17,  1277.90
   18.00,    35.56,    59.47,  1070.44
   19.00,    32.63,    58.25,  1106.83
   20.00,    30.00,    49.39,   987.77
   21.00,    27.62,    47.88,  1005.49
   22.00,    25.45,    53.91,  1186.12
   23.00,    23.48,    52.81,  1214.68
   24.00,    21.67,    54.61,  1310.67
   25.00,    20.00,    61.48,  1537.12
   26.00,    18.46,    55.89,  1453.17
   27.00,    17.04,    54.47,  1470.62
   28.00,    15.71,    42.62,  1193.30
   29.00,    14.48,    51.19,  1484.64
   30.00,    13.33,    47.26,  1417.71
   31.00,    12.26,    43.17,  1338.27
   32.00,    11.25,    36.36,  1163.55
   33.00,    10.30,    36.17,  1193.70
   34.00,     9.41,    30.64,  1041.72
   35.00,     8.57,    27.83,   974.00
   36.00,     7.78,    23.55,   847.93
   37.00,     7.03,    24.88,   920.54
   38.00,     6.32,    19.51,   741.38
   39.00,     5.64,    16.66,   649.93
   40.00,     5.00,    14.07,   562.97
   41.00,     4.39,    13.03,   534.35
   42.00,     3.81,    12.07,   506.78
   43.00,     3.26,     9.46,   406.69
   44.00,     2.73,     6.37,   280.43
   45.00,     2.22,     5.78,   260.32
   46.00,     1.74,     4.17,   191.89
   47.00,     1.28,     3.84,   180.37
   48.00,     0.83,     1.72,    82.77
   49.00,     0.41,     1.72,    84.49
   50.00,     0.00,     1.72,    86.22
