# rho at max Q =   23.333
# max Q        = 2221.490
# simulation timestep (model parameter for iterated map models) = 1.000
# rho[1/km],     s[m], vEq[km/h], Q[veh/h]
    0.00,     0.00,   119.99,     0.00
    3.33,   294.00,   116.71,   389.02
    6.67,   144.00,   117.74,   784.93
   10.00,    94.00,   120.68,  1206.85
   13.33,    69.00,   118.60,  1581.29
   16.67,    54.00,   119.30,  1988.40
   20.00,    44.00,   110.94,  2218.85
   23.33,    36.86,    95.21,  2221.49
   26.67,    31.50,    78.45,  2092.07
   30.00,    27.33,    69.95,  2098.60
   33.33,    24.00,    61.32,  2044.08
   36.67,    21.27,    51.96,  1905.20
   40.00,    19.00,    47.41,  1896.21
   43.33,    17.08,    39.17,  1697.21
   46.67,    15.43,    36.58,  1707.18
   50.00,    14.00,    30.79,  1539.29
   53.33,    12.75,    26.44,  1410.29
   56.67,    11.65,    24.04,  1362.10
   60.00,    10.67,    21.08,  1265.03
   63.33,     9.79,    18.57,  1176.09
   66.67,     9.00,    17.12,  1141.43
   70.00,     8.29,    13.92,   974.70
   73.33,     7.64,    12.83,   941.13
   76.67,     7.04,    11.40,   873.91
   80.00,     6.50,     9.06,   725.14
   83.33,     6.00,     8.19,   682.33
   86.67,     5.54,     6.38,   553.27
   90.00,     5.11,     5.69,   511.86
   93.33,     4.71,     4.05,   378.40
   96.67,     4.34,     3.37,   325.92
  100.00,     4.00,     2.49,   249.11
  103.33,     3.68,     1.77,   182.89
  106.67,     3.38,     1.09,   115.85
  110.00,     3.09,     0.38,    42.02
  113.33,     2.82,     0.00,     0.00
  116.67,     2.57,     0.00,     0.00
  120.00,     2.33,     0.00,     0.00
  123.33,     2.11,     0.00,     0.00
  126.67,     1.89,     0.00,     0.00
  130.00,     1.69,     0.00,     0.00
  133.33,     1.50,     0.00,     0.00
  136.67,     1.32,     0.00,     0.00
  140.00,     1.14,     0.00,     0.00
  143.33,     0.98,     0.00,     0.00
  146.67,     0.82,     0.00,     0.00
  150.00,     0.67,     0.00,     0.00
  153.33,     0.52,     0.00,     0.00
  156.67,     0.38,     0.00,     0.00
  160.00,     0.25,     0.00,     0.00
  163.33,     0.12,     0.00,     0.00
  166.67,     0.00,     0.00,     0.00
