# rho at max Q =   20.000
# max Q        = 2399.760
# simulation timestep (model parameter for iterated map models) = 1.000
# rho[1/km],     s[m], vEq[km/h], Q[veh/h]
    0.00,     0.00,   119.99,     0.00
    3.33,   294.00,   119.99,   399.96
    6.67,   144.00,   119.99,   799.92
   10.00,    94.00,   119.99,  1199.88
   13.33,    69.00,   119.99,  1599.84
   16.67,    54.00,   119.99,  1999.80
   20.00,    44.00,   119.99,  2399.76
   23.33,    36.86,    96.69,  2256.00
   26.67,    31.50,    77.40,  2064.00
   30.00,    27.33,    62.40,  1872.00
   33.33,    24.00,    50.40,  1680.00
   36.67,    21.27,    40.58,  1488.00
   40.00,    19.00,    32.40,  1296.00
   43.33,    17.08,    25.48,  1104.00
   46.67,    15.43,    19.54,   912.00
   50.00,    14.00,    14.40,   720.00
   53.33,    12.75,     9.90,   528.00
   56.67,    11.65,     5.93,   336.00
   60.00,    10.67,     2.41,   144.55
   63.33,     9.79,     0.00,     0.00
   66.67,     9.00,     0.00,     0.00
   70.00,     8.29,     0.00,     0.00
   73.33,     7.64,     0.00,     0.00
   76.67,     7.04,     0.00,     0.00
   80.00,     6.50,     0.00,     0.00
   83.33,     6.00,     0.00,     0.00
   86.67,     5.54,     0.00,     0.00
   90.00,     5.11,     0.00,     0.00
   93.33,     4.71,     0.00,     0.00
   96.67,     4.34,     0.00,     0.00
  100.00,     4.00,     0.00,     0.00
  103.33,     3.68,     0.00,     0.00
  106.67,     3.38,     0.00,     0.00
  110.00,     3.09,     0.00,     0.00
  113.33,     2.82,     0.00,     0.00
  116.67,     2.57,     0.00,     0.00
  120.00,     2.33,     0.00,     0.00
  123.33,     2.11,     0.00,     0.00
  126.67,     1.89,     0.00,     0.00
  130.00,     1.69,     0.00,     0.00
  133.33,     1.50,     0.00,     0.00
  136.67,     1.32,     0.00,     0.00
  140.00,     1.14,     0.00,     0.00
  143.33,     0.98,     0.00,     0.00
  146.67,     0.82,     0.00,     0.00
  150.00,     0.67,     0.00,     0.00
  153.33,     0.52,     0.00,     0.00
  156.67,     0.38,     0.00,     0.00
  160.00,     0.25,     0.00,     0.00
  163.33,     0.12,     0.00,     0.00
  166.67,     0.00,     0.00,     0.00
