# rho at max Q =   20.000
# max Q        =   91.440
# simulation timestep (model parameter for iterated map models) = 1.000
# rho[1/km],     s[m], vEq[km/h], Q[veh/h]
    0.00,     0.00,     7.20,     0.00
   20.00,    49.00,     4.57,    91.44
   40.00,    24.00,     1.12,    44.64
   60.00,    15.67,     1.12,    66.96
   80.00,    11.50,     4.57,   365.76
  100.00,     9.00,     0.00,     0.00
  120.00,     7.33,     0.25,    30.24
  140.00,     6.14,     0.11,    15.12
  160.00,     5.25,     0.25,    40.32
  180.00,     4.56,     2.27,   408.24
  200.00,     4.00,     1.12,   223.20
  220.00,     3.55,     2.27,   498.96
  240.00,     3.17,     0.04,     8.64
  260.00,     2.85,     0.04,     9.36
  280.00,     2.57,     9.18,  2570.40
  300.00,     2.33,     2.27,   680.40
  320.00,     2.13,     0.00,     0.00
  340.00,     1.94,     2.27,   771.12
  360.00,     1.78,     0.54,   194.40
  380.00,     1.63,     0.04,    13.68
  400.00,     1.50,     4.57,  1828.80
  420.00,     1.38,     2.27,   952.56
  440.00,     1.27,     2.27,   997.92
  460.00,     1.17,     2.27,  1043.28
  480.00,     1.08,     2.27,  1088.64
  500.00,     1.00,     0.00,     0.00
  520.00,     0.92,     1.12,   580.32
  540.00,     0.85,     0.54,   291.60
  560.00,     0.79,     0.11,    60.48
  580.00,     0.72,     2.27,  1315.44
  600.00,     0.67,     0.00,     0.00
  620.00,     0.61,     2.27,  1406.16
  640.00,     0.56,     2.27,  1451.52
  660.00,     0.52,     2.27,  1496.88
  680.00,     0.47,     0.00,     0.00
  700.00,     0.43,     0.00,     0.00
  720.00,     0.39,     0.00,     0.00
  740.00,     0.35,     0.00,     0.00
  760.00,     0.32,     0.00,     0.00
  780.00,     0.28,     0.00,     0.00
  800.00,     0.25,     0.00,     0.00
  820.00,     0.22,     0.00,     0.00
  840.00,     0.19,     0.00,     0.00
  860.00,     0.16,     0.00,     0.00
  880.00,     0.14,     0.00,     0.00
  900.00,     0.11,     0.00,     0.00
  920.00,     0.09,     0.00,     0.00
  940.00,     0.06,     0.00,     0.00
  960.00,     0.04,     0.00,     0.00
  980.00,     0.02,     0.00,     0.00
 1000.00,     0.00,     0.00,     0.00
