# rho at max Q =   24.000
# max Q        = 2323.197
# simulation timestep (model parameter for iterated map models) = 1.000
# rho[1/km],     s[m], vEq[km/h], Q[veh/h]
    0.00,     0.00,   119.99,     0.00
    4.00,   245.00,   119.99,   479.95
    8.00,   120.00,   119.99,   959.90
   12.00,    78.33,   119.88,  1438.54
   16.00,    57.50,   118.25,  1891.93
   20.00,    45.00,   111.28,  2225.58
   24.00,    36.67,    96.80,  2323.20
   28.00,    30.71,    78.06,  2185.66
   32.00,    26.25,    60.15,  1924.91
   36.00,    22.78,    45.70,  1645.24
   40.00,    20.00,    34.90,  1395.85
   44.00,    17.73,    27.01,  1188.42
   48.00,    15.83,    21.24,  1019.48
   52.00,    14.23,    16.96,   881.75
   56.00,    12.86,    13.72,   768.27
   60.00,    11.67,    11.22,   673.40
   64.00,    10.63,     9.26,   592.83
   68.00,     9.71,     7.70,   523.35
   72.00,     8.89,     6.42,   462.55
   76.00,     8.16,     5.38,   408.63
   80.00,     7.50,     4.50,   360.22
   84.00,     6.90,     3.77,   316.28
   88.00,     6.36,     3.14,   276.00
   92.00,     5.87,     2.60,   238.74
   96.00,     5.42,     2.13,   204.02
  100.00,     5.00,     1.71,   171.42
  104.00,     4.62,     1.35,   140.63
  108.00,     4.26,     1.03,   111.39
  112.00,     3.93,     0.75,    83.48
  116.00,     3.62,     0.49,    56.72
  120.00,     3.33,     0.26,    30.97
  124.00,     3.06,     0.05,     6.09
  128.00,     2.81,     0.00,     0.00
  132.00,     2.58,     0.00,     0.00
  136.00,     2.35,     0.00,     0.00
  140.00,     2.14,     0.00,     0.00
  144.00,     1.94,     0.00,     0.00
  148.00,     1.76,     0.00,     0.00
  152.00,     1.58,     0.00,     0.00
  156.00,     1.41,     0.00,     0.00
  160.00,     1.25,     0.00,     0.00
  164.00,     1.10,     0.00,     0.00
  168.00,     0.95,     0.00,     0.00
  172.00,     0.81,     0.00,     0.00
  176.00,     0.68,     0.00,     0.00
  180.00,     0.56,     0.00,     0.00
  184.00,     0.43,     0.00,     0.00
  188.00,     0.32,     0.00,     0.00
  192.00,     0.21,     0.00,     0.00
  196.00,     0.10,     0.00,     0.00
  200.00,     0.00,     0.00,     0.00
