# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
 0.00000, 20.00000, -8.00000, -2.00000
 0.00000, 20.00000, -7.60000, -2.00000
 0.00000, 20.00000, -7.20000, -2.00000
 0.00000, 20.00000, -6.80000, -2.00000
 0.00000, 20.00000, -6.40000, -2.00000
 0.00000, 20.00000, -6.00000, -2.00000
 0.00000, 20.00000, -5.60000, -2.00000
 0.00000, 20.00000, -5.20000, -2.00000
 0.00000, 20.00000, -4.80000, -2.00000
 0.00000, 20.00000, -4.40000, -2.00000
 0.00000, 20.00000, -4.00000, -2.00000
 0.00000, 20.00000, -3.60000, -2.00000
 0.00000, 20.00000, -3.20000, -2.00000
 0.00000, 20.00000, -2.80000, -2.00000
 0.00000, 20.00000, -2.40000, -2.00000
 0.00000, 20.00000, -2.00000, -2.00000
 0.00000, 20.00000, -1.60000, -2.00000
 0.00000, 20.00000, -1.20000, -2.00000
 0.00000, 20.00000, -0.80000, -2.00000
 0.00000, 20.00000, -0.40000, -2.00000
 0.00000, 20.00000,  0.00000, -2.00000
 0.00000, 20.00000,  0.40000, -802.00000
 0.00000, 20.00000,  0.80000, -3202.00000
 0.00000, 20.00000,  1.20000, -7202.00000
 0.00000, 20.00000,  1.60000, -12802.00000
 0.00000, 20.00000,  2.00000, -20002.00000
 0.00000, 20.00000,  2.40000, -28802.00000
 0.00000, 20.00000,  2.80000, -39202.00000
 0.00000, 20.00000,  3.20000, -51202.00000
 0.00000, 20.00000,  3.60000, -64802.00000
 0.00000, 20.00000,  4.00000, -80002.00000
 0.00000, 20.00000,  4.40000, -96802.00000
 0.00000, 20.00000,  4.80000, -115202.00000
 0.00000, 20.00000,  5.20000, -135202.00000
 0.00000, 20.00000,  5.60000, -156802.00000
 0.00000, 20.00000,  6.00000, -180002.00000
 0.00000, 20.00000,  6.40000, -204802.00000
 0.00000, 20.00000,  6.80000, -231202.00000
 0.00000, 20.00000,  7.20000, -259202.00000
 0.00000, 20.00000,  7.60000, -288802.00000
 0.00000, 20.00000,  8.00000, -320002.00000
 0.00000, 20.00000,  8.40000, -352802.00000
 0.00000, 20.00000,  8.80000, -387202.00000
 0.00000, 20.00000,  9.20000, -423202.00000
 0.00000, 20.00000,  9.60000, -460802.00000
 0.00000, 20.00000, 10.00000, -500002.00000
 0.00000, 20.00000, 10.40000, -540802.00000
 0.00000, 20.00000, 10.80000, -583202.00000
 0.00000, 20.00000, 11.20000, -627202.00000
 0.00000, 20.00000, 11.60000, -672802.00000
 0.00000, 20.00000, 12.00000, -720002.00000
 0.00000, 20.00000, 12.40000, -768802.00000
 0.00000, 20.00000, 12.80000, -819202.00000
 0.00000, 20.00000, 13.20000, -871202.00000
 0.00000, 20.00000, 13.60000, -924802.00000
 0.00000, 20.00000, 14.00000, -980002.00000
 0.00000, 20.00000, 14.40000, -1036802.00000
 0.00000, 20.00000, 14.80000, -1095202.00000

 0.40000, 20.00000, -8.00000, -2.00000
 0.40000, 20.00000, -7.60000, -2.00000
 0.40000, 20.00000, -7.20000, -2.00000
 0.40000, 20.00000, -6.80000, -2.00000
 0.40000, 20.00000, -6.40000, -2.00000
 0.40000, 20.00000, -6.00000, -2.00000
 0.40000, 20.00000, -5.60000, -2.00000
 0.40000, 20.00000, -5.20000, -2.00000
 0.40000, 20.00000, -4.80000, -2.00000
 0.40000, 20.00000, -4.40000, -2.00000
 0.40000, 20.00000, -4.00000, -2.00000
 0.40000, 20.00000, -3.60000, -2.00000
 0.40000, 20.00000, -3.20000, -2.00000
 0.40000, 20.00000, -2.80000, -2.00000
 0.40000, 20.00000, -2.40000, -2.00000
 0.40000, 20.00000, -2.00000, -2.00000
 0.40000, 20.00000, -1.60000, -2.00000
 0.40000, 20.00000, -1.20000, -2.00000
 0.40000, 20.00000, -0.80000, -2.00000
 0.40000, 20.00000, -0.40000, -2.00000
 0.40000, 20.00000,  0.00000, -2.00000
 0.40000, 20.00000,  0.40000, -2.20000
 0.40000, 20.00000,  0.80000, -2.80000
 0.40000, 20.00000,  1.20000, -3.80000
 0.40000, 20.00000,  1.60000, -5.20000
 0.40000, 20.00000,  2.00000, -7.00000
 0.40000, 20.00000,  2.40000, -9.20000
 0.40000, 20.00000,  2.80000, -11.80000
 0.40000, 20.00000,  3.20000, -14.80000
 0.40000, 20.00000,  3.60000, -18.20000
 0.40000, 20.00000,  4.00000, -22.00000
 0.40000, 20.00000,  4.40000, -26.20000
 0.40000, 20.00000,  4.80000, -30.80000
 0.40000, 20.00000,  5.20000, -35.80000
 0.40000, 20.00000,  5.60000, -41.20000
 0.40000, 20.00000,  6.00000, -47.00000
 0.40000, 20.00000,  6.40000, -53.20000
 0.40000, 20.00000,  6.80000, -59.80000
 0.40000, 20.00000,  7.20000, -66.80000
 0.40000, 20.00000,  7.60000, -74.20000
 0.40000, 20.00000,  8.00000, -82.00000
 0.40000, 20.00000,  8.40000, -90.20000
 0.40000, 20.00000,  8.80000, -98.80000
 0.40000, 20.00000,  9.20000, -107.80000
 0.40000, 20.00000,  9.60000, -117.20000
 0.40000, 20.00000, 10.00000, -127.00000
 0.40000, 20.00000, 10.40000, -137.20000
 0.40000, 20.00000, 10.80000, -147.80000
 0.40000, 20.00000, 11.20000, -158.80000
 0.40000, 20.00000, 11.60000, -170.20000
 0.40000, 20.00000, 12.00000, -182.00000
 0.40000, 20.00000, 12.40000, -194.20000
 0.40000, 20.00000, 12.80000, -206.80000
 0.40000, 20.00000, 13.20000, -219.80000
 0.40000, 20.00000, 13.60000, -233.20000
 0.40000, 20.00000, 14.00000, -247.00000
 0.40000, 20.00000, 14.40000, -261.20000
 0.40000, 20.00000, 14.80000, -275.80000

 0.80000, 20.00000, -8.00000, -1.99267
 0.80000, 20.00000, -7.60000, -1.99267
 0.80000, 20.00000, -7.20000, -1.99267
 0.80000, 20.00000, -6.80000, -1.99267
 0.80000, 20.00000, -6.40000, -1.99267
 0.80000, 20.00000, -6.00000, -1.99267
 0.80000, 20.00000, -5.60000, -1.99267
 0.80000, 20.00000, -5.20000, -1.99267
 0.80000, 20.00000, -4.80000, -1.99267
 0.80000, 20.00000, -4.40000, -1.99267
 0.80000, 20.00000, -4.00000, -1.99267
 0.80000, 20.00000, -3.60000, -1.99999
 0.80000, 20.00000, -3.20000, -2.00000
 0.80000, 20.00000, -2.80000, -2.00000
 0.80000, 20.00000, -2.40000, -2.00000
 0.80000, 20.00000, -2.00000, -2.00000
 0.80000, 20.00000, -1.60000, -2.00000
 0.80000, 20.00000, -1.20000, -2.00000
 0.80000, 20.00000, -0.80000, -2.00000
 0.80000, 20.00000, -0.40000, -2.00000
 0.80000, 20.00000,  0.00000, -2.00000
 0.80000, 20.00000,  0.40000, -2.10000
 0.80000, 20.00000,  0.80000, -2.40000
 0.80000, 20.00000,  1.20000, -2.90000
 0.80000, 20.00000,  1.60000, -3.60000
 0.80000, 20.00000,  2.00000, -4.50000
 0.80000, 20.00000,  2.40000, -5.60000
 0.80000, 20.00000,  2.80000, -6.90000
 0.80000, 20.00000,  3.20000, -8.40000
 0.80000, 20.00000,  3.60000, -10.10000
 0.80000, 20.00000,  4.00000, -12.00000
 0.80000, 20.00000,  4.40000, -14.10000
 0.80000, 20.00000,  4.80000, -16.40000
 0.80000, 20.00000,  5.20000, -18.90000
 0.80000, 20.00000,  5.60000, -21.60000
 0.80000, 20.00000,  6.00000, -24.50000
 0.80000, 20.00000,  6.40000, -27.60000
 0.80000, 20.00000,  6.80000, -30.90000
 0.80000, 20.00000,  7.20000, -34.40000
 0.80000, 20.00000,  7.60000, -38.10000
 0.80000, 20.00000,  8.00000, -42.00000
 0.80000, 20.00000,  8.40000, -46.10000
 0.80000, 20.00000,  8.80000, -50.40000
 0.80000, 20.00000,  9.20000, -54.90000
 0.80000, 20.00000,  9.60000, -59.60000
 0.80000, 20.00000, 10.00000, -64.50000
 0.80000, 20.00000, 10.40000, -69.60000
 0.80000, 20.00000, 10.80000, -74.90000
 0.80000, 20.00000, 11.20000, -80.40000
 0.80000, 20.00000, 11.60000, -86.10000
 0.80000, 20.00000, 12.00000, -92.00000
 0.80000, 20.00000, 12.40000, -98.10000
 0.80000, 20.00000, 12.80000, -104.40000
 0.80000, 20.00000, 13.20000, -110.90000
 0.80000, 20.00000, 13.60000, -117.60000
 0.80000, 20.00000, 14.00000, -124.50000
 0.80000, 20.00000, 14.40000, -131.60000
 0.80000, 20.00000, 14.80000, -138.90000

 1.20000, 20.00000, -8.00000, -1.57640
 1.20000, 20.00000, -7.60000, -1.57640
 1.20000, 20.00000, -7.20000, -1.57640
 1.20000, 20.00000, -6.80000, -1.57640
 1.20000, 20.00000, -6.40000, -1.57640
 1.20000, 20.00000, -6.00000, -1.57640
 1.20000, 20.00000, -5.60000, -1.57640
 1.20000, 20.00000, -5.20000, -1.57640
 1.20000, 20.00000, -4.80000, -1.57640
 1.20000, 20.00000, -4.40000, -1.57640
 1.20000, 20.00000, -4.00000, -1.57640
 1.20000, 20.00000, -3.60000, -1.97711
 1.20000, 20.00000, -3.20000, -2.00000
 1.20000, 20.00000, -2.80000, -2.00000
 1.20000, 20.00000, -2.40000, -2.00000
 1.20000, 20.00000, -2.00000, -2.00000
 1.20000, 20.00000, -1.60000, -2.00000
 1.20000, 20.00000, -1.20000, -2.00000
 1.20000, 20.00000, -0.80000, -2.00000
 1.20000, 20.00000, -0.40000, -2.00000
 1.20000, 20.00000,  0.00000, -2.00000
 1.20000, 20.00000,  0.40000, -2.06667
 1.20000, 20.00000,  0.80000, -2.26667
 1.20000, 20.00000,  1.20000, -2.60000
 1.20000, 20.00000,  1.60000, -3.06667
 1.20000, 20.00000,  2.00000, -3.66667
 1.20000, 20.00000,  2.40000, -4.40000
 1.20000, 20.00000,  2.80000, -5.26667
 1.20000, 20.00000,  3.20000, -6.26667
 1.20000, 20.00000,  3.60000, -7.40000
 1.20000, 20.00000,  4.00000, -8.66667
 1.20000, 20.00000,  4.40000, -10.06667
 1.20000, 20.00000,  4.80000, -11.60000
 1.20000, 20.00000,  5.20000, -13.26667
 1.20000, 20.00000,  5.60000, -15.06667
 1.20000, 20.00000,  6.00000, -17.00000
 1.20000, 20.00000,  6.40000, -19.06667
 1.20000, 20.00000,  6.80000, -21.26667
 1.20000, 20.00000,  7.20000, -23.60000
 1.20000, 20.00000,  7.60000, -26.06667
 1.20000, 20.00000,  8.00000, -28.66667
 1.20000, 20.00000,  8.40000, -31.40000
 1.20000, 20.00000,  8.80000, -34.26667
 1.20000, 20.00000,  9.20000, -37.26667
 1.20000, 20.00000,  9.60000, -40.40000
 1.20000, 20.00000, 10.00000, -43.66667
 1.20000, 20.00000, 10.40000, -47.06667
 1.20000, 20.00000, 10.80000, -50.60000
 1.20000, 20.00000, 11.20000, -54.26667
 1.20000, 20.00000, 11.60000, -58.06667
 1.20000, 20.00000, 12.00000, -62.00000
 1.20000, 20.00000, 12.40000, -66.06667
 1.20000, 20.00000, 12.80000, -70.26667
 1.20000, 20.00000, 13.20000, -74.60000
 1.20000, 20.00000, 13.60000, -79.06667
 1.20000, 20.00000, 14.00000, -83.66667
 1.20000, 20.00000, 14.40000, -88.40000
 1.20000, 20.00000, 14.80000, -93.26667

 1.60000, 20.00000, -8.00000, -0.65049
 1.60000, 20.00000, -7.60000, -0.65049
 1.60000, 20.00000, -7.20000, -0.65049
 1.60000, 20.00000, -6.80000, -0.65049
 1.60000, 20.00000, -6.40000, -0.65049
 1.60000, 20.00000, -6.00000, -0.65049
 1.60000, 20.00000, -5.60000, -0.65049
 1.60000, 20.00000, -5.20000, -0.65049
