# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
20.00000, 10.00000, -8.00000,  1.18045
20.00000, 10.00000, -7.60000,  1.18045
20.00000, 10.00000, -7.20000,  1.18045
20.00000, 10.00000, -6.80000,  1.18045
20.00000, 10.00000, -6.40000,  1.18045
20.00000, 10.00000, -6.00000,  1.18045
20.00000, 10.00000, -5.60000,  1.18045
20.00000, 10.00000, -5.20000,  1.18045
20.00000, 10.00000, -4.80000,  1.18045
20.00000, 10.00000, -4.40000,  1.18045
20.00000, 10.00000, -4.00000,  1.18045
20.00000, 10.00000, -3.60000,  1.17558
20.00000, 10.00000, -3.20000,  1.15272
20.00000, 10.00000, -2.80000,  1.11996
20.00000, 10.00000, -2.40000,  1.07725
20.00000, 10.00000, -2.00000,  1.02456
20.00000, 10.00000, -1.60000,  0.96187
20.00000, 10.00000, -1.20000,  0.88916
20.00000, 10.00000, -0.80000,  0.80641
20.00000, 10.00000, -0.40000,  0.71360
20.00000, 10.00000,  0.00000,  0.61071
20.00000, 10.00000,  0.40000,  0.49774
20.00000, 10.00000,  0.80000,  0.37467
20.00000, 10.00000,  1.20000,  0.24149
20.00000, 10.00000,  1.60000,  0.09820
20.00000, 10.00000,  2.00000, -0.05522
20.00000, 10.00000,  2.40000, -0.21863
20.00000, 10.00000,  2.80000, -0.39148
20.00000, 10.00000,  3.20000, -0.57286
20.00000, 10.00000,  3.60000, -0.76179
20.00000, 10.00000,  4.00000, -0.95730
20.00000, 10.00000,  4.40000, -1.15842
20.00000, 10.00000,  4.80000, -1.36423
20.00000, 10.00000,  5.20000, -1.57390
20.00000, 10.00000,  5.60000, -1.78670
20.00000, 10.00000,  6.00000, -2.00201
20.00000, 10.00000,  6.40000, -2.21938
20.00000, 10.00000,  6.80000, -2.43847
20.00000, 10.00000,  7.20000, -2.65909
20.00000, 10.00000,  7.60000, -2.88117
20.00000, 10.00000,  8.00000, -3.10478
20.00000, 10.00000,  8.40000, -3.33006
20.00000, 10.00000,  8.80000, -3.55727
20.00000, 10.00000,  9.20000, -3.78671
20.00000, 10.00000,  9.60000, -4.01874
20.00000, 10.00000, 10.00000, -1.97857
20.00000, 10.00000, 10.40000, -1.98508
20.00000, 10.00000, 10.80000, -1.98972
20.00000, 10.00000, 11.20000, -1.99299
20.00000, 10.00000, 11.60000, -1.99526
20.00000, 10.00000, 12.00000, -1.99684
20.00000, 10.00000, 12.40000, -1.99791
20.00000, 10.00000, 12.80000, -1.99863
20.00000, 10.00000, 13.20000, -1.99911
20.00000, 10.00000, 13.60000, -1.99943
20.00000, 10.00000, 14.00000, -1.99964
20.00000, 10.00000, 14.40000, -1.99977
20.00000, 10.00000, 14.80000, -1.99986

20.00000, 10.40000, -8.00000,  1.17916
20.00000, 10.40000, -7.60000,  1.17916
20.00000, 10.40000, -7.20000,  1.17916
20.00000, 10.40000, -6.80000,  1.17916
20.00000, 10.40000, -6.40000,  1.17916
20.00000, 10.40000, -6.00000,  1.17916
20.00000, 10.40000, -5.60000,  1.17916
20.00000, 10.40000, -5.20000,  1.17916
20.00000, 10.40000, -4.80000,  1.17916
20.00000, 10.40000, -4.40000,  1.17916
20.00000, 10.40000, -4.00000,  1.17916
20.00000, 10.40000, -3.60000,  1.17411
20.00000, 10.40000, -3.20000,  1.15012
20.00000, 10.40000, -2.80000,  1.11542
20.00000, 10.40000, -2.40000,  1.06997
20.00000, 10.40000, -2.00000,  1.01373
20.00000, 10.40000, -1.60000,  0.94667
20.00000, 10.40000, -1.20000,  0.86876
20.00000, 10.40000, -0.80000,  0.77997
20.00000, 10.40000, -0.40000,  0.68029
20.00000, 10.40000,  0.00000,  0.56970
20.00000, 10.40000,  0.40000,  0.44817
20.00000, 10.40000,  0.80000,  0.31570
20.00000, 10.40000,  1.20000,  0.17227
20.00000, 10.40000,  1.60000,  0.01787
20.00000, 10.40000,  2.00000, -0.14744
20.00000, 10.40000,  2.40000, -0.32311
20.00000, 10.40000,  2.80000, -0.50797
20.00000, 10.40000,  3.20000, -0.70075
20.00000, 10.40000,  3.60000, -0.90011
20.00000, 10.40000,  4.00000, -1.10474
20.00000, 10.40000,  4.40000, -1.31337
20.00000, 10.40000,  4.80000, -1.52486
20.00000, 10.40000,  5.20000, -1.73823
20.00000, 10.40000,  5.60000, -1.95268
20.00000, 10.40000,  6.00000, -2.16763
20.00000, 10.40000,  6.40000, -2.38271
20.00000, 10.40000,  6.80000, -2.59776
20.00000, 10.40000,  7.20000, -2.81280
20.00000, 10.40000,  7.60000, -3.02802
20.00000, 10.40000,  8.00000, -3.24376
20.00000, 10.40000,  8.40000, -3.46044
20.00000, 10.40000,  8.80000, -3.67856
20.00000, 10.40000,  9.20000, -3.89867
20.00000, 10.40000,  9.60000, -4.12132
20.00000, 10.40000, 10.00000, -4.34709
20.00000, 10.40000, 10.40000, -1.99121
20.00000, 10.40000, 10.80000, -1.99412
20.00000, 10.40000, 11.20000, -1.99611
20.00000, 10.40000, 11.60000, -1.99746
20.00000, 10.40000, 12.00000, -1.99835
20.00000, 10.40000, 12.40000, -1.99895
20.00000, 10.40000, 12.80000, -1.99933
20.00000, 10.40000, 13.20000, -1.99958
20.00000, 10.40000, 13.60000, -1.99974
20.00000, 10.40000, 14.00000, -1.99984
20.00000, 10.40000, 14.40000, -1.99990
20.00000, 10.40000, 14.80000, -1.99994

20.00000, 10.80000, -8.00000,  1.17772
20.00000, 10.80000, -7.60000,  1.17772
20.00000, 10.80000, -7.20000,  1.17772
20.00000, 10.80000, -6.80000,  1.17772
20.00000, 10.80000, -6.40000,  1.17772
20.00000, 10.80000, -6.00000,  1.17772
20.00000, 10.80000, -5.60000,  1.17772
20.00000, 10.80000, -5.20000,  1.17772
20.00000, 10.80000, -4.80000,  1.17772
20.00000, 10.80000, -4.40000,  1.17772
20.00000, 10.80000, -4.00000,  1.17772
20.00000, 10.80000, -3.60000,  1.17249
20.00000, 10.80000, -3.20000,  1.14735
20.00000, 10.80000, -2.80000,  1.11069
20.00000, 10.80000, -2.40000,  1.06244
20.00000, 10.80000, -2.00000,  1.00256
20.00000, 10.80000, -1.60000,  0.93100
20.00000, 10.80000, -1.20000,  0.84772
20.00000, 10.80000, -0.80000,  0.75270
20.00000, 10.80000, -0.40000,  0.64591
20.00000, 10.80000,  0.00000,  0.52733
20.00000, 10.80000,  0.40000,  0.39693
20.00000, 10.80000,  0.80000,  0.25470
20.00000, 10.80000,  1.20000,  0.10062
20.00000, 10.80000,  1.60000, -0.06532
20.00000, 10.80000,  2.00000, -0.24271
20.00000, 10.80000,  2.40000, -0.43028
20.00000, 10.80000,  2.80000, -0.62639
20.00000, 10.80000,  3.20000, -0.82933
20.00000, 10.80000,  3.60000, -1.03735
20.00000, 10.80000,  4.00000, -1.24881
20.00000, 10.80000,  4.40000, -1.46218
20.00000, 10.80000,  4.80000, -1.67617
20.00000, 10.80000,  5.20000, -1.88978
20.00000, 10.80000,  5.60000, -2.10228
20.00000, 10.80000,  6.00000, -2.31327
20.00000, 10.80000,  6.40000, -2.52264
20.00000, 10.80000,  6.80000, -2.73053
20.00000, 10.80000,  7.20000, -2.93732
20.00000, 10.80000,  7.60000, -3.14353
20.00000, 10.80000,  8.00000, -3.34980
20.00000, 10.80000,  8.40000, -3.55686
20.00000, 10.80000,  8.80000, -3.76544
20.00000, 10.80000,  9.20000, -3.97630
20.00000, 10.80000,  9.60000, -4.19014
20.00000, 10.80000, 10.00000, -4.40765
20.00000, 10.80000, 10.40000, -4.62945
20.00000, 10.80000, 10.80000, -1.99671
20.00000, 10.80000, 11.20000, -1.99789
20.00000, 10.80000, 11.60000, -1.99867
20.00000, 10.80000, 12.00000, -1.99917
20.00000, 10.80000, 12.40000, -1.99948
20.00000, 10.80000, 12.80000, -1.99968
20.00000, 10.80000, 13.20000, -1.99981
20.00000, 10.80000, 13.60000, -1.99989
20.00000, 10.80000, 14.00000, -1.99993
20.00000, 10.80000, 14.40000, -1.99996
20.00000, 10.80000, 14.80000, -1.99998

20.00000, 11.20000, -8.00000,  1.17611
20.00000, 11.20000, -7.60000,  1.17611
20.00000, 11.20000, -7.20000,  1.17611
20.00000, 11.20000, -6.80000,  1.17611
20.00000, 11.20000, -6.40000,  1.17611
20.00000, 11.20000, -6.00000,  1.17611
20.00000, 11.20000, -5.60000,  1.17611
20.00000, 11.20000, -5.20000,  1.17611
20.00000, 11.20000, -4.80000,  1.17611
20.00000, 11.20000, -4.40000,  1.17611
20.00000, 11.20000, -4.00000,  1.17611
20.00000, 11.20000, -3.60000,  1.17070
20.00000, 11.20000, -3.20000,  1.14442
20.00000, 11.20000, -2.80000,  1.10577
20.00000, 11.20000, -2.40000,  1.05467
20.00000, 11.20000, -2.00000,  0.99104
20.00000, 11.20000, -1.60000,  0.91485
20.00000, 11.20000, -1.20000,  0.82605
20.00000, 11.20000, -0.80000,  0.72460
20.00000, 11.20000, -0.40000,  0.61046
20.00000, 11.20000,  0.00000,  0.48361
