# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
 0.00000, 10.00000,  0.00000, -2.00000
 0.40000, 10.00000,  0.00000, -2.00000
 0.80000, 10.00000,  0.00000, -2.00000
 1.20000, 10.00000,  0.00000, -2.00000
 1.60000, 10.00000,  0.00000, -2.00000
 2.00000, 10.00000,  0.00000, -2.00000
 2.40000, 10.00000,  0.00000, -2.00000
 2.80000, 10.00000,  0.00000, -2.00000
 3.20000, 10.00000,  0.00000, -2.00000
 3.60000, 10.00000,  0.00000, -2.00000
 4.00000, 10.00000,  0.00000, -1.99999
 4.40000, 10.00000,  0.00000, -1.99993
 4.80000, 10.00000,  0.00000, -1.99951
 5.20000, 10.00000,  0.00000, -1.99778
 5.60000, 10.00000,  0.00000, -1.99267
 6.00000, 10.00000,  0.00000, -1.98078
 6.40000, 10.00000,  0.00000, -1.95785
 6.80000, 10.00000,  0.00000, -1.91958
 7.20000, 10.00000,  0.00000, -1.86271
 7.60000, 10.00000,  0.00000, -1.78578
 8.00000, 10.00000,  0.00000, -1.68948
 8.40000, 10.00000,  0.00000, -1.57640
 8.80000, 10.00000,  0.00000, -1.45046
 9.20000, 10.00000,  0.00000, -1.31615
 9.60000, 10.00000,  0.00000, -1.17788
10.00000, 10.00000,  0.00000, -1.03950
10.40000, 10.00000,  0.00000, -0.90411
10.80000, 10.00000,  0.00000, -0.77394
11.20000, 10.00000,  0.00000, -0.65049
11.60000, 10.00000,  0.00000, -0.53461
12.00000, 10.00000,  0.00000, -0.42668
12.40000, 10.00000,  0.00000, -0.32670
12.80000, 10.00000,  0.00000, -0.23446
13.20000, 10.00000,  0.00000, -0.14958
13.60000, 10.00000,  0.00000, -0.07160
14.00000, 10.00000,  0.00000,  0.00000
14.40000, 10.00000,  0.00000,  0.06573
14.80000, 10.00000,  0.00000,  0.12618
15.20000, 10.00000,  0.00000,  0.18190
15.60000, 10.00000,  0.00000,  0.23337
16.00000, 10.00000,  0.00000,  0.28101
16.40000, 10.00000,  0.00000,  0.32519
16.80000, 10.00000,  0.00000,  0.36625
17.20000, 10.00000,  0.00000,  0.40446
17.60000, 10.00000,  0.00000,  0.44008
18.00000, 10.00000,  0.00000,  0.47334
18.40000, 10.00000,  0.00000,  0.50445
18.80000, 10.00000,  0.00000,  0.53359
19.20000, 10.00000,  0.00000,  0.56091
19.60000, 10.00000,  0.00000,  0.58658
20.00000, 10.00000,  0.00000,  0.61071
20.40000, 10.00000,  0.00000,  0.63343
20.80000, 10.00000,  0.00000,  0.65485
21.20000, 10.00000,  0.00000,  0.67506
21.60000, 10.00000,  0.00000,  0.69415
22.00000, 10.00000,  0.00000,  0.71221
22.40000, 10.00000,  0.00000,  0.72930
22.80000, 10.00000,  0.00000,  0.74550
23.20000, 10.00000,  0.00000,  0.76087
23.60000, 10.00000,  0.00000,  0.77545
24.00000, 10.00000,  0.00000,  0.78931
24.40000, 10.00000,  0.00000,  0.80249
24.80000, 10.00000,  0.00000,  0.81504
25.20000, 10.00000,  0.00000,  0.82699
25.60000, 10.00000,  0.00000,  0.83838
26.00000, 10.00000,  0.00000,  0.84925
26.40000, 10.00000,  0.00000,  0.85963
26.80000, 10.00000,  0.00000,  0.86954
27.20000, 10.00000,  0.00000,  0.87902
27.60000, 10.00000,  0.00000,  0.88808
28.00000, 10.00000,  0.00000,  0.89676
28.40000, 10.00000,  0.00000,  0.90507
28.80000, 10.00000,  0.00000,  0.91304
29.20000, 10.00000,  0.00000,  0.92068
29.60000, 10.00000,  0.00000,  0.92801
30.00000, 10.00000,  0.00000,  0.93505
30.40000, 10.00000,  0.00000,  0.94181
30.80000, 10.00000,  0.00000,  0.94831
31.20000, 10.00000,  0.00000,  0.95456
31.60000, 10.00000,  0.00000,  0.96058
32.00000, 10.00000,  0.00000,  0.96636
32.40000, 10.00000,  0.00000,  0.97194
32.80000, 10.00000,  0.00000,  0.97731
33.20000, 10.00000,  0.00000,  0.98248
33.60000, 10.00000,  0.00000,  0.98747
34.00000, 10.00000,  0.00000,  0.99229
34.40000, 10.00000,  0.00000,  0.99694
34.80000, 10.00000,  0.00000,  1.00143
35.20000, 10.00000,  0.00000,  1.00576
35.60000, 10.00000,  0.00000,  1.00995
36.00000, 10.00000,  0.00000,  1.01400
36.40000, 10.00000,  0.00000,  1.01792
36.80000, 10.00000,  0.00000,  1.02171
37.20000, 10.00000,  0.00000,  1.02537
37.60000, 10.00000,  0.00000,  1.02892
38.00000, 10.00000,  0.00000,  1.03236
38.40000, 10.00000,  0.00000,  1.03569
38.80000, 10.00000,  0.00000,  1.03892
39.20000, 10.00000,  0.00000,  1.04205
39.60000, 10.00000,  0.00000,  1.04508
40.00000, 10.00000,  0.00000,  1.04803
40.40000, 10.00000,  0.00000,  1.05088
40.80000, 10.00000,  0.00000,  1.05365
41.20000, 10.00000,  0.00000,  1.05634
41.60000, 10.00000,  0.00000,  1.05896
42.00000, 10.00000,  0.00000,  1.06150
42.40000, 10.00000,  0.00000,  1.06396
42.80000, 10.00000,  0.00000,  1.06636
43.20000, 10.00000,  0.00000,  1.06869
43.60000, 10.00000,  0.00000,  1.07096
44.00000, 10.00000,  0.00000,  1.07317
44.40000, 10.00000,  0.00000,  1.07531
44.80000, 10.00000,  0.00000,  1.07740
45.20000, 10.00000,  0.00000,  1.07943
45.60000, 10.00000,  0.00000,  1.08141
46.00000, 10.00000,  0.00000,  1.08334
46.40000, 10.00000,  0.00000,  1.08522
46.80000, 10.00000,  0.00000,  1.08705
47.20000, 10.00000,  0.00000,  1.08883
47.60000, 10.00000,  0.00000,  1.09057
48.00000, 10.00000,  0.00000,  1.09226
48.40000, 10.00000,  0.00000,  1.09392
48.80000, 10.00000,  0.00000,  1.09553
49.20000, 10.00000,  0.00000,  1.09710
49.60000, 10.00000,  0.00000,  1.09864
50.00000, 10.00000,  0.00000,  1.10013
50.40000, 10.00000,  0.00000,  1.10160
50.80000, 10.00000,  0.00000,  1.10302
51.20000, 10.00000,  0.00000,  1.10442
51.60000, 10.00000,  0.00000,  1.10578
52.00000, 10.00000,  0.00000,  1.10711
52.40000, 10.00000,  0.00000,  1.10841
52.80000, 10.00000,  0.00000,  1.10968
53.20000, 10.00000,  0.00000,  1.11092
53.60000, 10.00000,  0.00000,  1.11213
54.00000, 10.00000,  0.00000,  1.11332
54.40000, 10.00000,  0.00000,  1.11448
54.80000, 10.00000,  0.00000,  1.11562
55.20000, 10.00000,  0.00000,  1.11673
55.60000, 10.00000,  0.00000,  1.11781
56.00000, 10.00000,  0.00000,  1.11888
