# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
 0.00000, 20.00000, -8.00000,  1.50000
 0.00000, 20.00000, -7.60000,  1.50000
 0.00000, 20.00000, -7.20000,  1.50000
 0.00000, 20.00000, -6.80000,  1.50000
 0.00000, 20.00000, -6.40000,  1.50000
 0.00000, 20.00000, -6.00000,  1.50000
 0.00000, 20.00000, -5.60000,  1.50000
 0.00000, 20.00000, -5.20000,  1.50000
 0.00000, 20.00000, -4.80000,  1.50000
 0.00000, 20.00000, -4.40000,  1.50000
 0.00000, 20.00000, -4.00000,  1.50000
 0.00000, 20.00000, -3.60000,  1.50000
 0.00000, 20.00000, -3.20000,  1.50000
 0.00000, 20.00000, -2.80000,  1.50000
 0.00000, 20.00000, -2.40000,  1.42231
 0.00000, 20.00000, -2.00000,  1.02272
 0.00000, 20.00000, -1.60000,  0.62314
 0.00000, 20.00000, -1.20000,  0.22357
 0.00000, 20.00000, -0.80000, -0.17598
 0.00000, 20.00000, -0.40000, -0.57550
 0.00000, 20.00000,  0.00000, -0.97502
 0.00000, 20.00000,  0.40000, -1.37451
 0.00000, 20.00000,  0.80000, -1.77398
 0.00000, 20.00000,  1.20000, -2.17342
 0.00000, 20.00000,  1.60000, -2.57285
 0.00000, 20.00000,  2.00000, -2.97224
 0.00000, 20.00000,  2.40000, -3.37161
 0.00000, 20.00000,  2.80000, -3.77095
 0.00000, 20.00000,  3.20000, -4.17026
 0.00000, 20.00000,  3.60000, -4.56954
 0.00000, 20.00000,  4.00000, -4.96878
 0.00000, 20.00000,  4.40000, -5.36798
 0.00000, 20.00000,  4.80000, -5.76714
 0.00000, 20.00000,  5.20000, -6.16625
 0.00000, 20.00000,  5.60000, -6.56532
 0.00000, 20.00000,  6.00000, -6.96433
 0.00000, 20.00000,  6.40000, -7.36328
 0.00000, 20.00000,  6.80000, -7.76218
 0.00000, 20.00000,  7.20000, -8.16100
 0.00000, 20.00000,  7.60000, -8.55974
 0.00000, 20.00000,  8.00000, -8.95841
 0.00000, 20.00000,  8.40000, -9.35698
 0.00000, 20.00000,  8.80000, -9.75545
 0.00000, 20.00000,  9.20000, -10.15380
 0.00000, 20.00000,  9.60000, -10.55203
 0.00000, 20.00000, 10.00000, -10.95012
 0.00000, 20.00000, 10.40000, -11.34806
 0.00000, 20.00000, 10.80000, -11.74581
 0.00000, 20.00000, 11.20000, -12.14336
 0.00000, 20.00000, 11.60000, -12.54069
 0.00000, 20.00000, 12.00000, -12.93774
 0.00000, 20.00000, 12.40000, -13.33449
 0.00000, 20.00000, 12.80000, -13.73089
 0.00000, 20.00000, 13.20000, -14.12686
 0.00000, 20.00000, 13.60000, -14.52235
 0.00000, 20.00000, 14.00000, -14.91724
 0.00000, 20.00000, 14.40000, -15.31141
 0.00000, 20.00000, 14.80000, -15.70472

 0.40000, 20.00000, -8.00000,  1.50000
 0.40000, 20.00000, -7.60000,  1.50000
 0.40000, 20.00000, -7.20000,  1.50000
 0.40000, 20.00000, -6.80000,  1.50000
 0.40000, 20.00000, -6.40000,  1.50000
 0.40000, 20.00000, -6.00000,  1.50000
 0.40000, 20.00000, -5.60000,  1.50000
 0.40000, 20.00000, -5.20000,  1.50000
 0.40000, 20.00000, -4.80000,  1.50000
 0.40000, 20.00000, -4.40000,  1.50000
 0.40000, 20.00000, -4.00000,  1.50000
 0.40000, 20.00000, -3.60000,  1.50000
