# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
20.00000, 10.00000, -8.00000,  1.50000
20.00000, 10.00000, -7.60000,  1.50000
20.00000, 10.00000, -7.20000,  1.50000
20.00000, 10.00000, -6.80000,  1.50000
20.00000, 10.00000, -6.40000,  1.50000
20.00000, 10.00000, -6.00000,  1.50000
20.00000, 10.00000, -5.60000,  1.50000
20.00000, 10.00000, -5.20000,  1.50000
20.00000, 10.00000, -4.80000,  1.50000
20.00000, 10.00000, -4.40000,  1.50000
20.00000, 10.00000, -4.00000,  1.50000
20.00000, 10.00000, -3.60000,  1.50000
20.00000, 10.00000, -3.20000,  1.50000
20.00000, 10.00000, -2.80000,  1.50000
20.00000, 10.00000, -2.40000,  1.50000
20.00000, 10.00000, -2.00000,  1.50000
20.00000, 10.00000, -1.60000,  1.50000
20.00000, 10.00000, -1.20000,  1.50000
20.00000, 10.00000, -0.80000,  1.31422
20.00000, 10.00000, -0.40000,  0.96495
20.00000, 10.00000,  0.00000,  0.61895
20.00000, 10.00000,  0.40000,  0.27652
20.00000, 10.00000,  0.80000, -0.06199
20.00000, 10.00000,  1.20000, -0.39623
20.00000, 10.00000,  1.60000, -0.72576
20.00000, 10.00000,  2.00000, -1.05013
20.00000, 10.00000,  2.40000, -1.36880
20.00000, 10.00000,  2.80000, -1.68120
20.00000, 10.00000,  3.20000, -1.98668
20.00000, 10.00000,  3.60000, -2.28450
20.00000, 10.00000,  4.00000, -2.57385
20.00000, 10.00000,  4.40000, -2.85384
20.00000, 10.00000,  4.80000, -3.12345
20.00000, 10.00000,  5.20000, -3.38160
20.00000, 10.00000,  5.60000, -3.62708
20.00000, 10.00000,  6.00000, -3.85857
20.00000, 10.00000,  6.40000, -4.07468
20.00000, 10.00000,  6.80000, -4.27393
20.00000, 10.00000,  7.20000, -4.45477
20.00000, 10.00000,  7.60000, -4.61564
20.00000, 10.00000,  8.00000, -4.75500
20.00000, 10.00000,  8.40000, -4.87138
20.00000, 10.00000,  8.80000, -4.96344
20.00000, 10.00000,  9.20000, -5.03008
20.00000, 10.00000,  9.60000, -5.07041
20.00000, 10.00000, 10.00000, -5.08392
20.00000, 10.00000, 10.40000, -5.07041
20.00000, 10.00000, 10.80000, -5.03008
20.00000, 10.00000, 11.20000, -4.96344
20.00000, 10.00000, 11.60000, -4.87138
20.00000, 10.00000, 12.00000, -4.75500
20.00000, 10.00000, 12.40000, -4.61564
20.00000, 10.00000, 12.80000, -4.45477
