# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
 0.00000, 10.00000,  0.00000, -0.95012
 0.40000, 10.00000,  0.00000, -0.95012
 0.80000, 10.00000,  0.00000, -0.95012
 1.20000, 10.00000,  0.00000, -0.95012
 1.60000, 10.00000,  0.00000, -0.95012
 2.00000, 10.00000,  0.00000, -0.95012
 2.40000, 10.00000,  0.00000, -0.95012
 2.80000, 10.00000,  0.00000, -0.95012
 3.20000, 10.00000,  0.00000, -0.93024
 3.60000, 10.00000,  0.00000, -0.89060
 4.00000, 10.00000,  0.00000, -0.85111
 4.40000, 10.00000,  0.00000, -0.81177
 4.80000, 10.00000,  0.00000, -0.77259
 5.20000, 10.00000,  0.00000, -0.73355
 5.60000, 10.00000,  0.00000, -0.69466
 6.00000, 10.00000,  0.00000, -0.65592
 6.40000, 10.00000,  0.00000, -0.61732
 6.80000, 10.00000,  0.00000, -0.57887
 7.20000, 10.00000,  0.00000, -0.54055
 7.60000, 10.00000,  0.00000, -0.50238
 8.00000, 10.00000,  0.00000, -0.46435
 8.40000, 10.00000,  0.00000, -0.42645
 8.80000, 10.00000,  0.00000, -0.38869
 9.20000, 10.00000,  0.00000, -0.35106
 9.60000, 10.00000,  0.00000, -0.31356
10.00000, 10.00000,  0.00000, -0.27619
10.40000, 10.00000,  0.00000, -0.23896
10.80000, 10.00000,  0.00000, -0.20185
11.20000, 10.00000,  0.00000, -0.16487
11.60000, 10.00000,  0.00000, -0.12802
12.00000, 10.00000,  0.00000, -0.09129
12.40000, 10.00000,  0.00000, -0.05468
12.80000, 10.00000,  0.00000, -0.01820
13.20000, 10.00000,  0.00000,  0.01817
13.60000, 10.00000,  0.00000,  0.05441
14.00000, 10.00000,  0.00000,  0.09054
14.40000, 10.00000,  0.00000,  0.12654
14.80000, 10.00000,  0.00000,  0.16244
15.20000, 10.00000,  0.00000,  0.19821
15.60000, 10.00000,  0.00000,  0.23388
16.00000, 10.00000,  0.00000,  0.26943
16.40000, 10.00000,  0.00000,  0.30487
16.80000, 10.00000,  0.00000,  0.34019
17.20000, 10.00000,  0.00000,  0.37541
17.60000, 10.00000,  0.00000,  0.41052
18.00000, 10.00000,  0.00000,  0.44552
18.40000, 10.00000,  0.00000,  0.48042
18.80000, 10.00000,  0.00000,  0.51521
19.20000, 10.00000,  0.00000,  0.54989
19.60000, 10.00000,  0.00000,  0.58447
20.00000, 10.00000,  0.00000,  0.61895
20.40000, 10.00000,  0.00000,  0.65333
20.80000, 10.00000,  0.00000,  0.68760
21.20000, 10.00000,  0.00000,  0.72177
21.60000, 10.00000,  0.00000,  0.75585
22.00000, 10.00000,  0.00000,  0.78983
22.40000, 10.00000,  0.00000,  0.82371
22.80000, 10.00000,  0.00000,  0.85749
23.20000, 10.00000,  0.00000,  0.89117
23.60000, 10.00000,  0.00000,  0.92476
24.00000, 10.00000,  0.00000,  0.95826
24.40000, 10.00000,  0.00000,  0.99166
24.80000, 10.00000,  0.00000,  1.02497
25.20000, 10.00000,  0.00000,  1.05819
25.60000, 10.00000,  0.00000,  1.09132
26.00000, 10.00000,  0.00000,  1.12436
26.40000, 10.00000,  0.00000,  1.15730
26.80000, 10.00000,  0.00000,  1.19016
27.20000, 10.00000,  0.00000,  1.22293
27.60000, 10.00000,  0.00000,  1.25561
28.00000, 10.00000,  0.00000,  1.28821
28.40000, 10.00000,  0.00000,  1.32071
28.80000, 10.00000,  0.00000,  1.35314
29.20000, 10.00000,  0.00000,  1.38548
29.60000, 10.00000,  0.00000,  1.41773
30.00000, 10.00000,  0.00000,  1.44990
30.40000, 10.00000,  0.00000,  1.48199
30.80000, 10.00000,  0.00000,  1.50000
31.20000, 10.00000,  0.00000,  1.50000
31.60000, 10.00000,  0.00000,  1.50000
32.00000, 10.00000,  0.00000,  1.50000
32.40000, 10.00000,  0.00000,  1.50000
32.80000, 10.00000,  0.00000,  1.50000
33.20000, 10.00000,  0.00000,  1.50000
33.60000, 10.00000,  0.00000,  1.50000
34.00000, 10.00000,  0.00000,  1.50000
34.40000, 10.00000,  0.00000,  1.50000
34.80000, 10.00000,  0.00000,  1.50000
35.20000, 10.00000,  0.00000,  1.50000
35.60000, 10.00000,  0.00000,  1.50000
36.00000, 10.00000,  0.00000,  1.50000
36.40000, 10.00000,  0.00000,  1.50000
36.80000, 10.00000,  0.00000,  1.50000
37.20000, 10.00000,  0.00000,  1.50000
37.60000, 10.00000,  0.00000,  1.50000
38.00000, 10.00000,  0.00000,  1.50000
38.40000, 10.00000,  0.00000,  1.50000
38.80000, 10.00000,  0.00000,  1.50000
39.20000, 10.00000,  0.00000,  1.50000
39.60000, 10.00000,  0.00000,  1.50000
40.00000, 10.00000,  0.00000,  1.50000
40.40000, 10.00000,  0.00000,  1.50000
40.80000, 10.00000,  0.00000,  1.50000
41.20000, 10.00000,  0.00000,  1.50000
41.60000, 10.00000,  0.00000,  1.50000
42.00000, 10.00000,  0.00000,  1.50000
42.40000, 10.00000,  0.00000,  1.50000
42.80000, 10.00000,  0.00000,  1.50000
43.20000, 10.00000,  0.00000,  1.50000
43.60000, 10.00000,  0.00000,  1.50000
44.00000, 10.00000,  0.00000,  1.50000
44.40000, 10.00000,  0.00000,  1.50000
44.80000, 10.00000,  0.00000,  1.50000
45.20000, 10.00000,  0.00000,  1.50000
45.60000, 10.00000,  0.00000,  1.50000
46.00000, 10.00000,  0.00000,  1.50000
46.40000, 10.00000,  0.00000,  1.50000
46.80000, 10.00000,  0.00000,  1.50000
47.20000, 10.00000,  0.00000,  1.50000
47.60000, 10.00000,  0.00000,  1.50000
48.00000, 10.00000,  0.00000,  1.50000
48.40000, 10.00000,  0.00000,  1.50000
48.80000, 10.00000,  0.00000,  1.50000
49.20000, 10.00000,  0.00000,  1.50000
49.60000, 10.00000,  0.00000,  1.50000
50.00000, 10.00000,  0.00000,  1.50000
50.40000, 10.00000,  0.00000,  1.50000
50.80000, 10.00000,  0.00000,  1.50000
51.20000, 10.00000,  0.00000,  1.50000
51.60000, 10.00000,  0.00000,  1.50000
52.00000, 10.00000,  0.00000,  1.50000
52.40000, 10.00000,  0.00000,  1.50000
52.80000, 10.00000,  0.00000,  1.50000
53.20000, 10.00000,  0.00000,  1.50000
53.60000, 10.00000,  0.00000,  1.50000
54.00000, 10.00000,  0.00000,  1.50000
54.40000, 10.00000,  0.00000,  1.50000
54.80000, 10.00000,  0.00000,  1.50000
55.20000, 10.00000,  0.00000,  1.50000
55.60000, 10.00000,  0.00000,  1.50000
56.00000, 10.00000,  0.00000,  1.50000
56.40000, 10.00000,  0.00000,  1.50000
56.80000, 10.00000,  0.00000,  1.50000
57.20000, 10.00000,  0.00000,  1.50000
57.60000, 10.00000,  0.00000,  1.50000
58.00000, 10.00000,  0.00000,  1.50000
58.40000, 10.00000,  0.00000,  1.50000
58.80000, 10.00000,  0.00000,  1.50000
59.20000, 10.00000,  0.00000,  1.50000
59.60000, 10.00000,  0.00000,  1.50000
60.00000, 10.00000,  0.00000,  1.50000
60.40000, 10.00000,  0.00000,  1.50000
60.80000, 10.00000,  0.00000,  1.50000
61.20000, 10.00000,  0.00000,  1.50000
61.60000, 10.00000,  0.00000,  1.50000
62.00000, 10.00000,  0.00000,  1.50000
62.40000, 10.00000,  0.00000,  1.50000
62.80000, 10.00000,  0.00000,  1.50000
63.20000, 10.00000,  0.00000,  1.50000
63.60000, 10.00000,  0.00000,  1.50000
64.00000, 10.00000,  0.00000,  1.50000
64.40000, 10.00000,  0.00000,  1.50000
64.80000, 10.00000,  0.00000,  1.50000
65.20000, 10.00000,  0.00000,  1.50000
65.60000, 10.00000,  0.00000,  1.50000
66.00000, 10.00000,  0.00000,  1.50000
66.40000, 10.00000,  0.00000,  1.50000
66.80000, 10.00000,  0.00000,  1.50000
67.20000, 10.00000,  0.00000,  1.50000
67.60000, 10.00000,  0.00000,  1.50000
68.00000, 10.00000,  0.00000,  1.50000
68.40000, 10.00000,  0.00000,  1.50000
68.80000, 10.00000,  0.00000,  1.50000
69.20000, 10.00000,  0.00000,  1.50000
69.60000, 10.00000,  0.00000,  1.50000
70.00000, 10.00000,  0.00000,  1.50000

 0.00000, 10.40000,  0.00000, -0.95203
 0.40000, 10.40000,  0.00000, -0.95203
 0.80000, 10.40000,  0.00000, -0.95203
 1.20000, 10.40000,  0.00000, -0.95203
 1.60000, 10.40000,  0.00000, -0.95203
 2.00000, 10.40000,  0.00000, -0.95203
 2.40000, 10.40000,  0.00000, -0.95203
 2.80000, 10.40000,  0.00000, -0.95203
 3.20000, 10.40000,  0.00000, -0.93291
 3.60000, 10.40000,  0.00000, -0.89476
 4.00000, 10.40000,  0.00000, -0.85676
 4.40000, 10.40000,  0.00000, -0.81888
 4.80000, 10.40000,  0.00000, -0.78115
 5.20000, 10.40000,  0.00000, -0.74355
 5.60000, 10.40000,  0.00000, -0.70608
 6.00000, 10.40000,  0.00000, -0.66874
 6.40000, 10.40000,  0.00000, -0.63153
 6.80000, 10.40000,  0.00000, -0.59445
 7.20000, 10.40000,  0.00000, -0.55749
 7.60000, 10.40000,  0.00000, -0.52066
 8.00000, 10.40000,  0.00000, -0.48396
 8.40000, 10.40000,  0.00000, -0.44737
 8.80000, 10.40000,  0.00000, -0.41091
 9.20000, 10.40000,  0.00000, -0.37457
 9.60000, 10.40000,  0.00000, -0.33835
10.00000, 10.40000,  0.00000, -0.30225
10.40000, 10.40000,  0.00000, -0.26627
10.80000, 10.40000,  0.00000, -0.23040
11.20000, 10.40000,  0.00000, -0.19464
11.60000, 10.40000,  0.00000, -0.15900
12.00000, 10.40000,  0.00000, -0.12348
12.40000, 10.40000,  0.00000, -0.08806
12.80000, 10.40000,  0.00000, -0.05275
13.20000, 10.40000,  0.00000, -0.01756
13.60000, 10.40000,  0.00000,  0.01753
14.00000, 10.40000,  0.00000,  0.05251
14.40000, 10.40000,  0.00000,  0.08738
14.80000, 10.40000,  0.00000,  0.12215
15.20000, 10.40000,  0.00000,  0.15682
15.60000, 10.40000,  0.00000,  0.19138
16.00000, 10.40000,  0.00000,  0.22583
16.40000, 10.40000,  0.00000,  0.26019
16.80000, 10.40000,  0.00000,  0.29444
17.20000, 10.40000,  0.00000,  0.32860
17.60000, 10.40000,  0.00000,  0.36265
18.00000, 10.40000,  0.00000,  0.39661
18.40000, 10.40000,  0.00000,  0.43047
18.80000, 10.40000,  0.00000,  0.46423
19.20000, 10.40000,  0.00000,  0.49790
19.60000, 10.40000,  0.00000,  0.53147
20.00000, 10.40000,  0.00000,  0.56495
20.40000, 10.40000,  0.00000,  0.59833
20.80000, 10.40000,  0.00000,  0.63162
21.20000, 10.40000,  0.00000,  0.66482
21.60000, 10.40000,  0.00000,  0.69793
22.00000, 10.40000,  0.00000,  0.73095
22.40000, 10.40000,  0.00000,  0.76388
22.80000, 10.40000,  0.00000,  0.79672
23.20000, 10.40000,  0.00000,  0.82947
23.60000, 10.40000,  0.00000,  0.86214
24.00000, 10.40000,  0.00000,  0.89471
24.40000, 10.40000,  0.00000,  0.92721
24.80000, 10.40000,  0.00000,  0.95961
25.20000, 10.40000,  0.00000,  0.99193
25.60000, 10.40000,  0.00000,  1.02417
26.00000, 10.40000,  0.00000,  1.05632
26.40000, 10.40000,  0.00000,  1.08839
26.80000, 10.40000,  0.00000,  1.12038
27.20000, 10.40000,  0.00000,  1.15229
27.60000, 10.40000,  0.00000,  1.18412
28.00000, 10.40000,  0.00000,  1.21586
28.40000, 10.40000,  0.00000,  1.24753
28.80000, 10.40000,  0.00000,  1.27912
29.20000, 10.40000,  0.00000,  1.31063
29.60000, 10.40000,  0.00000,  1.34206
30.00000, 10.40000,  0.00000,  1.37341
30.40000, 10.40000,  0.00000,  1.40469
30.80000, 10.40000,  0.00000,  1.43589
31.20000, 10.40000,  0.00000,  1.46701
31.60000, 10.40000,  0.00000,  1.49806
32.00000, 10.40000,  0.00000,  1.50000
32.40000, 10.40000,  0.00000,  1.50000
32.80000, 10.40000,  0.00000,  1.50000
33.20000, 10.40000,  0.00000,  1.50000
33.60000, 10.40000,  0.00000,  1.50000
34.00000, 10.40000,  0.00000,  1.50000
34.40000, 10.40000,  0.00000,  1.50000
34.80000, 10.40000,  0.00000,  1.50000
35.20000, 10.40000,  0.00000,  1.50000
35.60000, 10.40000,  0.00000,  1.50000
36.00000, 10.40000,  0.00000,  1.50000
36.40000, 10.40000,  0.00000,  1.50000
36.80000, 10.40000,  0.00000,  1.50000
37.20000, 10.40000,  0.00000,  1.50000
37.60000, 10.40000,  0.00000,  1.50000
38.00000, 10.40000,  0.00000,  1.50000
38.40000, 10.40000,  0.00000,  1.50000
38.80000, 10.40000,  0.00000,  1.50000
39.20000, 10.40000,  0.00000,  1.50000
39.60000, 10.40000,  0.00000,  1.50000
40.00000, 10.40000,  0.00000,  1.50000
40.40000, 10.40000,  0.00000,  1.50000
40.80000, 10.40000,  0.00000,  1.50000
41.20000, 10.40000,  0.00000,  1.50000
41.60000, 10.40000,  0.00000,  1.50000
42.00000, 10.40000,  0.00000,  1.50000
42.40000, 10.40000,  0.00000,  1.50000
42.80000, 10.40000,  0.00000,  1.50000
43.20000, 10.40000,  0.00000,  1.50000
43.60000, 10.40000,  0.00000,  1.50000
44.00000, 10.40000,  0.00000,  1.50000
44.40000, 10.40000,  0.00000,  1.50000
44.80000, 10.40000,  0.00000,  1.50000
45.20000, 10.40000,  0.00000,  1.50000
45.60000, 10.40000,  0.00000,  1.50000
46.00000, 10.40000,  0.00000,  1.50000
46.40000, 10.40000,  0.00000,  1.50000
46.80000, 10.40000,  0.00000,  1.50000
47.20000, 10.40000,  0.00000,  1.50000
47.60000, 10.40000,  0.00000,  1.50000
48.00000, 10.40000,  0.00000,  1.50000
48.40000, 10.40000,  0.00000,  1.50000
48.80000, 10.40000,  0.00000,  1.50000
49.20000, 10.40000,  0.00000,  1.50000
49.60000, 10.40000,  0.00000,  1.50000
50.00000, 10.40000,  0.00000,  1.50000
50.40000, 10.40000,  0.00000,  1.50000
50.80000, 10.40000,  0.00000,  1.50000
51.20000, 10.40000,  0.00000,  1.50000
51.60000, 10.40000,  0.00000,  1.50000
52.00000, 10.40000,  0.00000,  1.50000
52.40000, 10.40000,  0.00000,  1.50000
52.80000, 10.40000,  0.00000,  1.50000
53.20000, 10.40000,  0.00000,  1.50000
53.60000, 10.40000,  0.00000,  1.50000
54.00000, 10.40000,  0.00000,  1.50000
54.40000, 10.40000,  0.00000,  1.50000
54.80000, 10.40000,  0.00000,  1.50000
55.20000, 10.40000,  0.00000,  1.50000
55.60000, 10.40000,  0.00000,  1.50000
56.00000, 10.40000,  0.00000,  1.50000
56.40000, 10.40000,  0.00000,  1.50000
56.80000, 10.40000,  0.00000,  1.50000
57.20000, 10.40000,  0.00000,  1.50000
57.60000, 10.40000,  0.00000,  1.50000
58.00000, 10.40000,  0.00000,  1.50000
58.40000, 10.40000,  0.00000,  1.50000
58.80000, 10.40000,  0.00000,  1.50000
59.20000, 10.40000,  0.00000,  1.50000
59.60000, 10.40000,  0.00000,  1.50000
60.00000, 10.40000,  0.00000,  1.50000
60.40000, 10.40000,  0.00000,  1.50000
60.80000, 10.40000,  0.00000,  1.50000
61.20000, 10.40000,  0.00000,  1.50000
61.60000, 10.40000,  0.00000,  1.50000
62.00000, 10.40000,  0.00000,  1.50000
62.40000, 10.40000,  0.00000,  1.50000
62.80000, 10.40000,  0.00000,  1.50000
63.20000, 10.40000,  0.00000,  1.50000
63.60000, 10.40000,  0.00000,  1.50000
64.00000, 10.40000,  0.00000,  1.50000
64.40000, 10.40000,  0.00000,  1.50000
64.80000, 10.40000,  0.00000,  1.50000
65.20000, 10.40000,  0.00000,  1.50000
65.60000, 10.40000,  0.00000,  1.50000
66.00000, 10.40000,  0.00000,  1.50000
66.40000, 10.40000,  0.00000,  1.50000
66.80000, 10.40000,  0.00000,  1.50000
67.20000, 10.40000,  0.00000,  1.50000
67.60000, 10.40000,  0.00000,  1.50000
68.00000, 10.40000,  0.00000,  1.50000
68.40000, 10.40000,  0.00000,  1.50000
68.80000, 10.40000,  0.00000,  1.50000
69.20000, 10.40000,  0.00000,  1.50000
69.60000, 10.40000,  0.00000,  1.50000
70.00000, 10.40000,  0.00000,  1.50000

 0.00000, 10.80000,  0.00000, -0.95380
 0.40000, 10.80000,  0.00000, -0.95380
 0.80000, 10.80000,  0.00000, -0.95380
 1.20000, 10.80000,  0.00000, -0.95380
 1.60000, 10.80000,  0.00000, -0.95380
 2.00000, 10.80000,  0.00000, -0.95380
 2.40000, 10.80000,  0.00000, -0.95380
 2.80000, 10.80000,  0.00000, -0.95380
 3.20000, 10.80000,  0.00000, -0.93538
 3.60000, 10.80000,  0.00000, -0.89862
 4.00000, 10.80000,  0.00000, -0.86199
 4.40000, 10.80000,  0.00000, -0.82548
 4.80000, 10.80000,  0.00000, -0.78910
 5.20000, 10.80000,  0.00000, -0.75283
 5.60000, 10.80000,  0.00000, -0.71668
 6.00000, 10.80000,  0.00000, -0.68065
 6.40000, 10.80000,  0.00000, -0.64473
 6.80000, 10.80000,  0.00000, -0.60893
 7.20000, 10.80000,  0.00000, -0.57325
 7.60000, 10.80000,  0.00000, -0.53767
 8.00000, 10.80000,  0.00000, -0.50221
 8.40000, 10.80000,  0.00000, -0.46686
 8.80000, 10.80000,  0.00000, -0.43162
 9.20000, 10.80000,  0.00000, -0.39649
 9.60000, 10.80000,  0.00000, -0.36147
10.00000, 10.80000,  0.00000, -0.32655
10.40000, 10.80000,  0.00000, -0.29174
10.80000, 10.80000,  0.00000, -0.25704
11.20000, 10.80000,  0.00000, -0.22244
11.60000, 10.80000,  0.00000, -0.18794
12.00000, 10.80000,  0.00000, -0.15354
12.40000, 10.80000,  0.00000, -0.11925
12.80000, 10.80000,  0.00000, -0.08505
13.20000, 10.80000,  0.00000, -0.05096
13.60000, 10.80000,  0.00000, -0.01696
14.00000, 10.80000,  0.00000,  0.01694
14.40000, 10.80000,  0.00000,  0.05074
14.80000, 10.80000,  0.00000,  0.08444
15.20000, 10.80000,  0.00000,  0.11805
15.60000, 10.80000,  0.00000,  0.15157
16.00000, 10.80000,  0.00000,  0.18499
16.40000, 10.80000,  0.00000,  0.21832
16.80000, 10.80000,  0.00000,  0.25156
17.20000, 10.80000,  0.00000,  0.28470
17.60000, 10.80000,  0.00000,  0.31776
18.00000, 10.80000,  0.00000,  0.35072
18.40000, 10.80000,  0.00000,  0.38360
18.80000, 10.80000,  0.00000,  0.41638
19.20000, 10.80000,  0.00000,  0.44908
19.60000, 10.80000,  0.00000,  0.48169
20.00000, 10.80000,  0.00000,  0.51422
20.40000, 10.80000,  0.00000,  0.54666
20.80000, 10.80000,  0.00000,  0.57901
21.20000, 10.80000,  0.00000,  0.61129
21.60000, 10.80000,  0.00000,  0.64347
22.00000, 10.80000,  0.00000,  0.67558
22.40000, 10.80000,  0.00000,  0.70760
22.80000, 10.80000,  0.00000,  0.73954
23.20000, 10.80000,  0.00000,  0.77140
23.60000, 10.80000,  0.00000,  0.80317
24.00000, 10.80000,  0.00000,  0.83487
24.40000, 10.80000,  0.00000,  0.86649
24.80000, 10.80000,  0.00000,  0.89803
25.20000, 10.80000,  0.00000,  0.92949
25.60000, 10.80000,  0.00000,  0.96088
26.00000, 10.80000,  0.00000,  0.99219
26.40000, 10.80000,  0.00000,  1.02342
26.80000, 10.80000,  0.00000,  1.05457
27.20000, 10.80000,  0.00000,  1.08565
27.60000, 10.80000,  0.00000,  1.11666
28.00000, 10.80000,  0.00000,  1.14759
