# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
 0.00000, 12.00000, -8.00000, -Infinity
 0.00000, 12.40000, -7.60000, -Infinity
 0.00000, 12.80000, -7.20000, -Infinity
 0.00000, 13.20000, -6.80000, -Infinity
 0.00000, 13.60000, -6.40000, -Infinity
 0.00000, 14.00000, -6.00000, -Infinity
 0.00000, 14.40000, -5.60000, -Infinity
 0.00000, 14.80000, -5.20000, -Infinity
 0.00000, 15.20000, -4.80000, -Infinity
 0.00000, 15.60000, -4.40000, -Infinity
 0.00000, 16.00000, -4.00000, -Infinity
 0.00000, 16.40000, -3.60000, -Infinity
 0.00000, 16.80000, -3.20000, -Infinity
 0.00000, 17.20000, -2.80000, -Infinity
 0.00000, 17.60000, -2.40000, -Infinity
 0.00000, 18.00000, -2.00000, -Infinity
 0.00000, 18.40000, -1.60000, -Infinity
 0.00000, 18.80000, -1.20000, -Infinity
 0.00000, 19.20000, -0.80000, -Infinity
 0.00000, 19.60000, -0.40000, -Infinity
 0.00000, 20.00000,  0.00000, -Infinity
 0.00000, 20.40000,  0.40000, -Infinity
 0.00000, 20.80000,  0.80000, -Infinity
 0.00000, 21.20000,  1.20000, -Infinity
 0.00000, 21.60000,  1.60000, -Infinity
 0.00000, 22.00000,  2.00000, -Infinity
 0.00000, 22.40000,  2.40000, -Infinity
 0.00000, 22.80000,  2.80000, -Infinity
 0.00000, 23.20000,  3.20000, -Infinity
 0.00000, 23.60000,  3.60000, -Infinity
 0.00000, 24.00000,  4.00000, -Infinity
 0.00000, 24.40000,  4.40000, -Infinity
 0.00000, 24.80000,  4.80000, -Infinity
 0.00000, 25.20000,  5.20000, -Infinity
 0.00000, 25.60000,  5.60000, -Infinity
 0.00000, 26.00000,  6.00000, -Infinity
 0.00000, 26.40000,  6.40000, -Infinity
 0.00000, 26.80000,  6.80000, -Infinity
 0.00000, 27.20000,  7.20000, -Infinity
 0.00000, 27.60000,  7.60000, -Infinity
 0.00000, 28.00000,  8.00000, -Infinity
 0.00000, 28.40000,  8.40000, -Infinity
 0.00000, 28.80000,  8.80000, -Infinity
 0.00000, 29.20000,  9.20000, -Infinity
 0.00000, 29.60000,  9.60000, -Infinity
 0.00000, 30.00000, 10.00000, -Infinity
 0.00000, 30.40000, 10.40000, -Infinity
 0.00000, 30.80000, 10.80000, -Infinity
 0.00000, 31.20000, 11.20000, -Infinity
 0.00000, 31.60000, 11.60000, -Infinity
 0.00000, 32.00000, 12.00000, -Infinity
 0.00000, 32.40000, 12.40000, -Infinity
 0.00000, 32.80000, 12.80000, -Infinity
 0.00000, 33.20000, 13.20000, -Infinity
 0.00000, 33.60000, 13.60000, -Infinity
 0.00000, 34.00000, 14.00000, -Infinity
 0.00000, 34.40000, 14.40000, -Infinity
 0.00000, 34.80000, 14.80000, -Infinity

 0.40000, 12.00000, -8.00000, -24.01680
 0.40000, 12.40000, -7.60000, -24.01916
 0.40000, 12.80000, -7.20000, -24.02175
 0.40000, 13.20000, -6.80000, -24.02460
 0.40000, 13.60000, -6.40000, -24.02772
 0.40000, 14.00000, -6.00000, -24.03113
 0.40000, 14.40000, -5.60000, -24.03484
 0.40000, 14.80000, -5.20000, -24.03888
 0.40000, 15.20000, -4.80000, -24.04325
 0.40000, 15.60000, -4.40000, -24.04799
 0.40000, 16.00000, -4.00000, -24.05311
 0.40000, 16.40000, -3.60000, -24.05862
 0.40000, 16.80000, -3.20000, -24.06455
 0.40000, 17.20000, -2.80000, -24.07092
 0.40000, 17.60000, -2.40000, -33.75784
 0.40000, 18.00000, -2.00000, -174.85045
 0.40000, 18.40000, -1.60000, -438.11798
 0.40000, 18.80000, -1.20000, -838.64005
 0.40000, 19.20000, -0.80000, -1392.13628
 0.40000, 19.60000, -0.40000, -2114.96627
 0.40000, 20.00000,  0.00000, -3024.12965
 0.40000, 20.40000,  0.40000, -4137.26603
 0.40000, 20.80000,  0.80000, -5472.65503
 0.40000, 21.20000,  1.20000, -7049.21627
 0.40000, 21.60000,  1.60000, -8886.50936
 0.40000, 22.00000,  2.00000, -11004.73392
 0.40000, 22.40000,  2.40000, -13424.72958
 0.40000, 22.80000,  2.80000, -16167.97594
 0.40000, 23.20000,  3.20000, -19256.59264
 0.40000, 23.60000,  3.60000, -22713.33929
 0.40000, 24.00000,  4.00000, -26561.61551
 0.40000, 24.40000,  4.40000, -30825.46092
 0.40000, 24.80000,  4.80000, -35529.55515
 0.40000, 25.20000,  5.20000, -40699.21782
 0.40000, 25.60000,  5.60000, -46360.40855
 0.40000, 26.00000,  6.00000, -52539.72696
 0.40000, 26.40000,  6.40000, -59264.41268
 0.40000, 26.80000,  6.80000, -66562.34533
 0.40000, 27.20000,  7.20000, -74462.04454
 0.40000, 27.60000,  7.60000, -82992.66993
 0.40000, 28.00000,  8.00000, -92184.02114
 0.40000, 28.40000,  8.40000, -102066.53777
 0.40000, 28.80000,  8.80000, -112671.29947
 0.40000, 29.20000,  9.20000, -124030.02586
 0.40000, 29.60000,  9.60000, -136175.07657
 0.40000, 30.00000, 10.00000, -149139.45122
 0.40000, 30.40000, 10.40000, -162956.78944
 0.40000, 30.80000, 10.80000, -177661.37087
 0.40000, 31.20000, 11.20000, -193288.11514
 0.40000, 31.60000, 11.60000, -209872.58187
 0.40000, 32.00000, 12.00000, -227450.97069
 0.40000, 32.40000, 12.40000, -246060.12124
 0.40000, 32.80000, 12.80000, -265737.51315
 0.40000, 33.20000, 13.20000, -286521.26605
 0.40000, 33.60000, 13.60000, -308450.13957
 0.40000, 34.00000, 14.00000, -331563.53335
 0.40000, 34.40000, 14.40000, -355901.48702
 0.40000, 34.80000, 14.80000, -381504.68022

 0.80000, 12.00000, -8.00000, -5.26680
 0.80000, 12.40000, -7.60000, -5.26916
 0.80000, 12.80000, -7.20000, -5.27175
 0.80000, 13.20000, -6.80000, -5.27460
 0.80000, 13.60000, -6.40000, -5.27772
 0.80000, 14.00000, -6.00000, -5.28113
 0.80000, 14.40000, -5.60000, -5.28484
 0.80000, 14.80000, -5.20000, -5.28888
 0.80000, 15.20000, -4.80000, -5.29325
 0.80000, 15.60000, -4.40000, -5.29799
 0.80000, 16.00000, -4.00000, -5.30311
 0.80000, 16.40000, -3.60000, -5.30862
 0.80000, 16.80000, -3.20000, -5.31455
 0.80000, 17.20000, -2.80000, -5.32092
 0.80000, 17.60000, -2.40000, -7.74777
 0.80000, 18.00000, -2.00000, -43.02641
 0.80000, 18.40000, -1.60000, -108.84916
 0.80000, 18.80000, -1.20000, -208.98593
 0.80000, 19.20000, -0.80000, -347.36666
 0.80000, 19.60000, -0.40000, -528.08126
 0.80000, 20.00000,  0.00000, -755.37965
 0.80000, 20.40000,  0.40000, -1033.67176
 0.80000, 20.80000,  0.80000, -1367.52751
 0.80000, 21.20000,  1.20000, -1761.67683
 0.80000, 21.60000,  1.60000, -2221.00963
 0.80000, 22.00000,  2.00000, -2750.57585
 0.80000, 22.40000,  2.40000, -3355.58540
 0.80000, 22.80000,  2.80000, -4041.40822
 0.80000, 23.20000,  3.20000, -4813.57422
 0.80000, 23.60000,  3.60000, -5677.77335
 0.80000, 24.00000,  4.00000, -6639.85551
 0.80000, 24.40000,  4.40000, -7705.83065
 0.80000, 24.80000,  4.80000, -8881.86868
 0.80000, 25.20000,  5.20000, -10174.29954
 0.80000, 25.60000,  5.60000, -11589.61316
 0.80000, 26.00000,  6.00000, -13134.45946
 0.80000, 26.40000,  6.40000, -14815.64838
 0.80000, 26.80000,  6.80000, -16640.14985
 0.80000, 27.20000,  7.20000, -18615.09379
 0.80000, 27.60000,  7.60000, -20747.77014
 0.80000, 28.00000,  8.00000, -23045.62884
 0.80000, 28.40000,  8.40000, -25516.27980
 0.80000, 28.80000,  8.80000, -28167.49298
 0.80000, 29.20000,  9.20000, -31007.19829
 0.80000, 29.60000,  9.60000, -34043.48568
 0.80000, 30.00000, 10.00000, -37284.60508
 0.80000, 30.40000, 10.40000, -40738.96642
 0.80000, 30.80000, 10.80000, -44415.13964
 0.80000, 31.20000, 11.20000, -48321.85467
 0.80000, 31.60000, 11.60000, -52468.00146
 0.80000, 32.00000, 12.00000, -56862.62994
 0.80000, 32.40000, 12.40000, -61514.95004
 0.80000, 32.80000, 12.80000, -66434.33171
 0.80000, 33.20000, 13.20000, -71630.30488
 0.80000, 33.60000, 13.60000, -77112.55949
 0.80000, 34.00000, 14.00000, -82890.94549
 0.80000, 34.40000, 14.40000, -88975.47280
 0.80000, 34.80000, 14.80000, -95376.31138

 1.20000, 12.00000, -8.00000, -1.79458
 1.20000, 12.40000, -7.60000, -1.79694
 1.20000, 12.80000, -7.20000, -1.79953
 1.20000, 13.20000, -6.80000, -1.80238
 1.20000, 13.60000, -6.40000, -1.80550
 1.20000, 14.00000, -6.00000, -1.80891
 1.20000, 14.40000, -5.60000, -1.81262
 1.20000, 14.80000, -5.20000, -1.81666
 1.20000, 15.20000, -4.80000, -1.82103
 1.20000, 15.60000, -4.40000, -1.82577
 1.20000, 16.00000, -4.00000, -1.83088
 1.20000, 16.40000, -3.60000, -1.83640
 1.20000, 16.80000, -3.20000, -1.84233
 1.20000, 17.20000, -2.80000, -1.84870
 1.20000, 17.60000, -2.40000, -2.93110
 1.20000, 18.00000, -2.00000, -18.61455
 1.20000, 18.40000, -1.60000, -47.87345
 1.20000, 18.80000, -1.20000, -92.38332
 1.20000, 19.20000, -0.80000, -153.89080
 1.20000, 19.60000, -0.40000, -234.21366
 1.20000, 20.00000,  0.00000, -335.24076
 1.20000, 20.40000,  0.40000, -458.93208
 1.20000, 20.80000,  0.80000, -607.31871
 1.20000, 21.20000,  1.20000, -782.50286
 1.20000, 21.60000,  1.60000, -986.65783
 1.20000, 22.00000,  2.00000, -1222.02806
 1.20000, 22.40000,  2.40000, -1490.92907
 1.20000, 22.80000,  2.80000, -1795.74753
 1.20000, 23.20000,  3.20000, -2138.94118
 1.20000, 23.60000,  3.60000, -2523.03891
 1.20000, 24.00000,  4.00000, -2950.64070
 1.20000, 24.40000,  4.40000, -3424.41763
 1.20000, 24.80000,  4.80000, -3947.11193
 1.20000, 25.20000,  5.20000, -4521.53690
 1.20000, 25.60000,  5.60000, -5150.57698
 1.20000, 26.00000,  6.00000, -5837.18771
 1.20000, 26.40000,  6.40000, -6584.39574
 1.20000, 26.80000,  6.80000, -7395.29883
 1.20000, 27.20000,  7.20000, -8273.06587
 1.20000, 27.60000,  7.60000, -9220.93685
 1.20000, 28.00000,  8.00000, -10242.22286
 1.20000, 28.40000,  8.40000, -11340.30611
 1.20000, 28.80000,  8.80000, -12518.63992
 1.20000, 29.20000,  9.20000, -13780.74874
 1.20000, 29.60000,  9.60000, -15130.22811
 1.20000, 30.00000, 10.00000, -16570.74468
 1.20000, 30.40000, 10.40000, -18106.03623
 1.20000, 30.80000, 10.80000, -19739.91163
 1.20000, 31.20000, 11.20000, -21476.25088
 1.20000, 31.60000, 11.60000, -23319.00509
 1.20000, 32.00000, 12.00000, -25272.19646
 1.20000, 32.40000, 12.40000, -27339.91834
 1.20000, 32.80000, 12.80000, -29526.33515
 1.20000, 33.20000, 13.20000, -31835.68244
 1.20000, 33.60000, 13.60000, -34272.26688
 1.20000, 34.00000, 14.00000, -36840.46625
 1.20000, 34.40000, 14.40000, -39544.72943
 1.20000, 34.80000, 14.80000, -42389.57641

 1.60000, 12.00000, -8.00000, -0.57930
 1.60000, 12.40000, -7.60000, -0.58166
 1.60000, 12.80000, -7.20000, -0.58425
 1.60000, 13.20000, -6.80000, -0.58710
 1.60000, 13.60000, -6.40000, -0.59022
 1.60000, 14.00000, -6.00000, -0.59363
 1.60000, 14.40000, -5.60000, -0.59734
 1.60000, 14.80000, -5.20000, -0.60138
 1.60000, 15.20000, -4.80000, -0.60575
 1.60000, 15.60000, -4.40000, -0.61049
 1.60000, 16.00000, -4.00000, -0.61561
 1.60000, 16.40000, -3.60000, -0.62112
 1.60000, 16.80000, -3.20000, -0.62705
 1.60000, 17.20000, -2.80000, -0.63342
 1.60000, 17.60000, -2.40000, -1.24526
 1.60000, 18.00000, -2.00000, -10.07040
 1.60000, 18.40000, -1.60000, -26.53195
 1.60000, 18.80000, -1.20000, -51.57240
 1.60000, 19.20000, -0.80000, -86.17425
