# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
20.00000, 10.00000, -8.00000,  0.98190
20.00000, 10.00000, -7.60000,  0.98190
20.00000, 10.00000, -7.20000,  0.98190
20.00000, 10.00000, -6.80000,  0.98190
20.00000, 10.00000, -6.40000,  0.98190
20.00000, 10.00000, -6.00000,  0.98190
20.00000, 10.00000, -5.60000,  0.98190
20.00000, 10.00000, -5.20000,  0.98190
20.00000, 10.00000, -4.80000,  0.98190
20.00000, 10.00000, -4.40000,  0.98190
20.00000, 10.00000, -4.00000,  0.98190
20.00000, 10.00000, -3.60000,  0.98190
20.00000, 10.00000, -3.20000,  0.98190
20.00000, 10.00000, -2.80000,  0.98190
20.00000, 10.00000, -2.40000,  0.97977
20.00000, 10.00000, -2.00000,  0.95513
20.00000, 10.00000, -1.60000,  0.91715
20.00000, 10.00000, -1.20000,  0.86584
20.00000, 10.00000, -0.80000,  0.80119
20.00000, 10.00000, -0.40000,  0.72321
20.00000, 10.00000,  0.00000,  0.63190
20.00000, 10.00000,  0.40000,  0.52725
20.00000, 10.00000,  0.80000,  0.40927
20.00000, 10.00000,  1.20000,  0.27796
20.00000, 10.00000,  1.60000,  0.13331
20.00000, 10.00000,  2.00000, -0.02467
20.00000, 10.00000,  2.40000, -0.19598
20.00000, 10.00000,  2.80000, -0.38063
20.00000, 10.00000,  3.20000, -0.57861
20.00000, 10.00000,  3.60000, -0.78992
20.00000, 10.00000,  4.00000, -1.01457
20.00000, 10.00000,  4.40000, -1.25255
20.00000, 10.00000,  4.80000, -1.50386
20.00000, 10.00000,  5.20000, -1.76850
20.00000, 10.00000,  5.60000, -2.04648
20.00000, 10.00000,  6.00000, -2.33780
20.00000, 10.00000,  6.40000, -2.64244
20.00000, 10.00000,  6.80000, -2.96042
20.00000, 10.00000,  7.20000, -3.29174
20.00000, 10.00000,  7.60000, -3.63638
20.00000, 10.00000,  8.00000, -3.99436
20.00000, 10.00000,  8.40000, -4.36567
20.00000, 10.00000,  8.80000, -4.75032
20.00000, 10.00000,  9.20000, -5.14830
20.00000, 10.00000,  9.60000, -5.55961
20.00000, 10.00000, 10.00000, -5.98426
20.00000, 10.00000, 10.40000, -6.42224
20.00000, 10.00000, 10.80000, -6.87355
20.00000, 10.00000, 11.20000, -7.33820
20.00000, 10.00000, 11.60000, -7.81618
20.00000, 10.00000, 12.00000, -8.30749
20.00000, 10.00000, 12.40000, -8.81214
20.00000, 10.00000, 12.80000, -9.33012
20.00000, 10.00000, 13.20000, -9.86143
20.00000, 10.00000, 13.60000, -10.40608
20.00000, 10.00000, 14.00000, -10.96406
20.00000, 10.00000, 14.40000, -11.53537
20.00000, 10.00000, 14.80000, -12.12001

20.00000, 10.40000, -8.00000,  0.98052
20.00000, 10.40000, -7.60000,  0.98052
20.00000, 10.40000, -7.20000,  0.98052
20.00000, 10.40000, -6.80000,  0.98052
20.00000, 10.40000, -6.40000,  0.98052
20.00000, 10.40000, -6.00000,  0.98052
20.00000, 10.40000, -5.60000,  0.98052
20.00000, 10.40000, -5.20000,  0.98052
20.00000, 10.40000, -4.80000,  0.98052
20.00000, 10.40000, -4.40000,  0.98052
20.00000, 10.40000, -4.00000,  0.98052
20.00000, 10.40000, -3.60000,  0.98052
20.00000, 10.40000, -3.20000,  0.98052
20.00000, 10.40000, -2.80000,  0.98052
20.00000, 10.40000, -2.40000,  0.97831
20.00000, 10.40000, -2.00000,  0.95233
20.00000, 10.40000, -1.60000,  0.91193
20.00000, 10.40000, -1.20000,  0.85711
20.00000, 10.40000, -0.80000,  0.78787
20.00000, 10.40000, -0.40000,  0.70421
20.00000, 10.40000,  0.00000,  0.60612
20.00000, 10.40000,  0.40000,  0.49361
20.00000, 10.40000,  0.80000,  0.36669
20.00000, 10.40000,  1.20000,  0.22534
20.00000, 10.40000,  1.60000,  0.06957
20.00000, 10.40000,  2.00000, -0.10062
20.00000, 10.40000,  2.40000, -0.28524
20.00000, 10.40000,  2.80000, -0.48427
20.00000, 10.40000,  3.20000, -0.69773
20.00000, 10.40000,  3.60000, -0.92560
20.00000, 10.40000,  4.00000, -1.16790
20.00000, 10.40000,  4.40000, -1.42462
20.00000, 10.40000,  4.80000, -1.69576
20.00000, 10.40000,  5.20000, -1.98132
20.00000, 10.40000,  5.60000, -2.28131
20.00000, 10.40000,  6.00000, -2.59571
20.00000, 10.40000,  6.40000, -2.92454
20.00000, 10.40000,  6.80000, -3.26778
20.00000, 10.40000,  7.20000, -3.62545
20.00000, 10.40000,  7.60000, -3.99754
20.00000, 10.40000,  8.00000, -4.38405
20.00000, 10.40000,  8.40000, -4.78499
20.00000, 10.40000,  8.80000, -5.20034
20.00000, 10.40000,  9.20000, -5.63012
20.00000, 10.40000,  9.60000, -6.07431
20.00000, 10.40000, 10.00000, -6.53293
20.00000, 10.40000, 10.40000, -7.00597
20.00000, 10.40000, 10.80000, -7.49343
20.00000, 10.40000, 11.20000, -7.99531
20.00000, 10.40000, 11.60000, -8.51162
20.00000, 10.40000, 12.00000, -9.04234
20.00000, 10.40000, 12.40000, -9.58749
20.00000, 10.40000, 12.80000, -10.14706
20.00000, 10.40000, 13.20000, -10.72104
20.00000, 10.40000, 13.60000, -11.30945
20.00000, 10.40000, 14.00000, -11.91229
20.00000, 10.40000, 14.40000, -12.52954
20.00000, 10.40000, 14.80000, -13.16121

20.00000, 10.80000, -8.00000,  0.97898
20.00000, 10.80000, -7.60000,  0.97898
20.00000, 10.80000, -7.20000,  0.97898
20.00000, 10.80000, -6.80000,  0.97898
20.00000, 10.80000, -6.40000,  0.97898
20.00000, 10.80000, -6.00000,  0.97898
20.00000, 10.80000, -5.60000,  0.97898
20.00000, 10.80000, -5.20000,  0.97898
20.00000, 10.80000, -4.80000,  0.97898
20.00000, 10.80000, -4.40000,  0.97898
20.00000, 10.80000, -4.00000,  0.97898
20.00000, 10.80000, -3.60000,  0.97898
20.00000, 10.80000, -3.20000,  0.97898
20.00000, 10.80000, -2.80000,  0.97898
20.00000, 10.80000, -2.40000,  0.97667
20.00000, 10.80000, -2.00000,  0.94934
20.00000, 10.80000, -1.60000,  0.90645
20.00000, 10.80000, -1.20000,  0.84801
20.00000, 10.80000, -0.80000,  0.77402
20.00000, 10.80000, -0.40000,  0.68447
20.00000, 10.80000,  0.00000,  0.57938
20.00000, 10.80000,  0.40000,  0.45873
20.00000, 10.80000,  0.80000,  0.32253
20.00000, 10.80000,  1.20000,  0.17077
20.00000, 10.80000,  1.60000,  0.00347
20.00000, 10.80000,  2.00000, -0.17939
