# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
 0.00000, 10.00000,  0.00000, -Infinity
 0.40000, 10.00000,  0.00000, -899.00810
 0.80000, 10.00000,  0.00000, -224.00810
 1.20000, 10.00000,  0.00000, -99.00810
 1.60000, 10.00000,  0.00000, -55.25810
 2.00000, 10.00000,  0.00000, -35.00810
 2.40000, 10.00000,  0.00000, -24.00810
 2.80000, 10.00000,  0.00000, -17.37545
 3.20000, 10.00000,  0.00000, -13.07060
 3.60000, 10.00000,  0.00000, -10.11921
 4.00000, 10.00000,  0.00000, -8.00810
 4.40000, 10.00000,  0.00000, -6.44612
 4.80000, 10.00000,  0.00000, -5.25810
 5.20000, 10.00000,  0.00000, -4.33355
 5.60000, 10.00000,  0.00000, -3.59994
 6.00000, 10.00000,  0.00000, -3.00810
 6.40000, 10.00000,  0.00000, -2.52373
 6.80000, 10.00000,  0.00000, -2.12229
 7.20000, 10.00000,  0.00000, -1.78588
 7.60000, 10.00000,  0.00000, -1.50118
 8.00000, 10.00000,  0.00000, -1.25810
 8.40000, 10.00000,  0.00000, -1.04892
 8.80000, 10.00000,  0.00000, -0.86761
 9.20000, 10.00000,  0.00000, -0.70943
 9.60000, 10.00000,  0.00000, -0.57060
10.00000, 10.00000,  0.00000, -0.44810
10.40000, 10.00000,  0.00000, -0.33946
10.80000, 10.00000,  0.00000, -0.24267
11.20000, 10.00000,  0.00000, -0.15606
11.60000, 10.00000,  0.00000, -0.07826
12.00000, 10.00000,  0.00000, -0.00810
12.40000, 10.00000,  0.00000,  0.05537
12.80000, 10.00000,  0.00000,  0.11299
13.20000, 10.00000,  0.00000,  0.16545
13.60000, 10.00000,  0.00000,  0.21335
14.00000, 10.00000,  0.00000,  0.25720
14.40000, 10.00000,  0.00000,  0.29745
14.80000, 10.00000,  0.00000,  0.33448
15.20000, 10.00000,  0.00000,  0.36863
15.60000, 10.00000,  0.00000,  0.40018
16.00000, 10.00000,  0.00000,  0.42940
16.40000, 10.00000,  0.00000,  0.45650
16.80000, 10.00000,  0.00000,  0.48169
17.20000, 10.00000,  0.00000,  0.50515
17.60000, 10.00000,  0.00000,  0.52702
18.00000, 10.00000,  0.00000,  0.54745
18.40000, 10.00000,  0.00000,  0.56657
18.80000, 10.00000,  0.00000,  0.58447
19.20000, 10.00000,  0.00000,  0.60127
19.60000, 10.00000,  0.00000,  0.61705
20.00000, 10.00000,  0.00000,  0.63190
20.40000, 10.00000,  0.00000,  0.64588
20.80000, 10.00000,  0.00000,  0.65906
21.20000, 10.00000,  0.00000,  0.67150
21.60000, 10.00000,  0.00000,  0.68325
22.00000, 10.00000,  0.00000,  0.69438
22.40000, 10.00000,  0.00000,  0.70491
22.80000, 10.00000,  0.00000,  0.71489
23.20000, 10.00000,  0.00000,  0.72436
23.60000, 10.00000,  0.00000,  0.73335
24.00000, 10.00000,  0.00000,  0.74190
24.40000, 10.00000,  0.00000,  0.75003
24.80000, 10.00000,  0.00000,  0.75777
25.20000, 10.00000,  0.00000,  0.76514
25.60000, 10.00000,  0.00000,  0.77217
26.00000, 10.00000,  0.00000,  0.77888
26.40000, 10.00000,  0.00000,  0.78529
26.80000, 10.00000,  0.00000,  0.79141
27.20000, 10.00000,  0.00000,  0.79726
27.60000, 10.00000,  0.00000,  0.80286
28.00000, 10.00000,  0.00000,  0.80822
28.40000, 10.00000,  0.00000,  0.81336
28.80000, 10.00000,  0.00000,  0.81829
29.20000, 10.00000,  0.00000,  0.82301
29.60000, 10.00000,  0.00000,  0.82754
30.00000, 10.00000,  0.00000,  0.83190
30.40000, 10.00000,  0.00000,  0.83608
30.80000, 10.00000,  0.00000,  0.84010
31.20000, 10.00000,  0.00000,  0.84397
31.60000, 10.00000,  0.00000,  0.84769
32.00000, 10.00000,  0.00000,  0.85127
32.40000, 10.00000,  0.00000,  0.85472
32.80000, 10.00000,  0.00000,  0.85805
33.20000, 10.00000,  0.00000,  0.86125
33.60000, 10.00000,  0.00000,  0.86435
34.00000, 10.00000,  0.00000,  0.86733
34.40000, 10.00000,  0.00000,  0.87021
34.80000, 10.00000,  0.00000,  0.87299
35.20000, 10.00000,  0.00000,  0.87568
35.60000, 10.00000,  0.00000,  0.87827
36.00000, 10.00000,  0.00000,  0.88079
36.40000, 10.00000,  0.00000,  0.88321
36.80000, 10.00000,  0.00000,  0.88556
37.20000, 10.00000,  0.00000,  0.88784
37.60000, 10.00000,  0.00000,  0.89004
38.00000, 10.00000,  0.00000,  0.89217
38.40000, 10.00000,  0.00000,  0.89424
38.80000, 10.00000,  0.00000,  0.89624
39.20000, 10.00000,  0.00000,  0.89819
39.60000, 10.00000,  0.00000,  0.90007
40.00000, 10.00000,  0.00000,  0.90190
40.40000, 10.00000,  0.00000,  0.90367
40.80000, 10.00000,  0.00000,  0.90539
41.20000, 10.00000,  0.00000,  0.90706
41.60000, 10.00000,  0.00000,  0.90869
42.00000, 10.00000,  0.00000,  0.91026
42.40000, 10.00000,  0.00000,  0.91180
42.80000, 10.00000,  0.00000,  0.91329
43.20000, 10.00000,  0.00000,  0.91474
43.60000, 10.00000,  0.00000,  0.91615
44.00000, 10.00000,  0.00000,  0.91752
44.40000, 10.00000,  0.00000,  0.91885
44.80000, 10.00000,  0.00000,  0.92015
45.20000, 10.00000,  0.00000,  0.92141
45.60000, 10.00000,  0.00000,  0.92264
46.00000, 10.00000,  0.00000,  0.92384
46.40000, 10.00000,  0.00000,  0.92501
46.80000, 10.00000,  0.00000,  0.92615
47.20000, 10.00000,  0.00000,  0.92726
47.60000, 10.00000,  0.00000,  0.92834
48.00000, 10.00000,  0.00000,  0.92940
48.40000, 10.00000,  0.00000,  0.93043
48.80000, 10.00000,  0.00000,  0.93143
49.20000, 10.00000,  0.00000,  0.93241
49.60000, 10.00000,  0.00000,  0.93336
50.00000, 10.00000,  0.00000,  0.93430
50.40000, 10.00000,  0.00000,  0.93521
50.80000, 10.00000,  0.00000,  0.93610
51.20000, 10.00000,  0.00000,  0.93697
51.60000, 10.00000,  0.00000,  0.93781
52.00000, 10.00000,  0.00000,  0.93864
52.40000, 10.00000,  0.00000,  0.93945
52.80000, 10.00000,  0.00000,  0.94024
53.20000, 10.00000,  0.00000,  0.94102
53.60000, 10.00000,  0.00000,  0.94177
54.00000, 10.00000,  0.00000,  0.94251
54.40000, 10.00000,  0.00000,  0.94324
54.80000, 10.00000,  0.00000,  0.94395
55.20000, 10.00000,  0.00000,  0.94464
55.60000, 10.00000,  0.00000,  0.94532
56.00000, 10.00000,  0.00000,  0.94598
56.40000, 10.00000,  0.00000,  0.94663
56.80000, 10.00000,  0.00000,  0.94726
57.20000, 10.00000,  0.00000,  0.94788
57.60000, 10.00000,  0.00000,  0.94849
58.00000, 10.00000,  0.00000,  0.94909
58.40000, 10.00000,  0.00000,  0.94967
58.80000, 10.00000,  0.00000,  0.95025
59.20000, 10.00000,  0.00000,  0.95081
59.60000, 10.00000,  0.00000,  0.95136
60.00000, 10.00000,  0.00000,  0.95190
60.40000, 10.00000,  0.00000,  0.95242
60.80000, 10.00000,  0.00000,  0.95294
61.20000, 10.00000,  0.00000,  0.95345
61.60000, 10.00000,  0.00000,  0.95395
62.00000, 10.00000,  0.00000,  0.95444
62.40000, 10.00000,  0.00000,  0.95491
62.80000, 10.00000,  0.00000,  0.95538
63.20000, 10.00000,  0.00000,  0.95584
63.60000, 10.00000,  0.00000,  0.95630
64.00000, 10.00000,  0.00000,  0.95674
64.40000, 10.00000,  0.00000,  0.95718
64.80000, 10.00000,  0.00000,  0.95760
65.20000, 10.00000,  0.00000,  0.95802
65.60000, 10.00000,  0.00000,  0.95843
66.00000, 10.00000,  0.00000,  0.95884
66.40000, 10.00000,  0.00000,  0.95924
66.80000, 10.00000,  0.00000,  0.95963
67.20000, 10.00000,  0.00000,  0.96001
67.60000, 10.00000,  0.00000,  0.96039
68.00000, 10.00000,  0.00000,  0.96075
68.40000, 10.00000,  0.00000,  0.96112
68.80000, 10.00000,  0.00000,  0.96147
69.20000, 10.00000,  0.00000,  0.96183
69.60000, 10.00000,  0.00000,  0.96217
70.00000, 10.00000,  0.00000,  0.96251

 0.00000, 10.40000,  0.00000, -Infinity
 0.40000, 10.40000,  0.00000, -960.00948
 0.80000, 10.40000,  0.00000, -239.25948
 1.20000, 10.40000,  0.00000, -105.78726
 1.60000, 10.40000,  0.00000, -59.07198
 2.00000, 10.40000,  0.00000, -37.44948
 2.40000, 10.40000,  0.00000, -25.70392
 2.80000, 10.40000,  0.00000, -18.62172
 3.20000, 10.40000,  0.00000, -14.02510
 3.60000, 10.40000,  0.00000, -10.87368
 4.00000, 10.40000,  0.00000, -8.61948
 4.40000, 10.40000,  0.00000, -6.95163
 4.80000, 10.40000,  0.00000, -5.68309
 5.20000, 10.40000,  0.00000, -4.69587
 5.60000, 10.40000,  0.00000, -3.91254
 6.00000, 10.40000,  0.00000, -3.28059
 6.40000, 10.40000,  0.00000, -2.76339
 6.80000, 10.40000,  0.00000, -2.33474
 7.20000, 10.40000,  0.00000, -1.97553
 7.60000, 10.40000,  0.00000, -1.67153
 8.00000, 10.40000,  0.00000, -1.41198
 8.40000, 10.40000,  0.00000, -1.18862
 8.80000, 10.40000,  0.00000, -0.99502
