# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
 0.00000, 12.00000, -8.00000, -Infinity
 0.00000, 12.40000, -7.60000, -Infinity
 0.00000, 12.80000, -7.20000, -Infinity
 0.00000, 13.20000, -6.80000, -Infinity
 0.00000, 13.60000, -6.40000, -Infinity
 0.00000, 14.00000, -6.00000, -Infinity
 0.00000, 14.40000, -5.60000, -Infinity
 0.00000, 14.80000, -5.20000, -Infinity
 0.00000, 15.20000, -4.80000, -Infinity
 0.00000, 15.60000, -4.40000, -Infinity
 0.00000, 16.00000, -4.00000, -Infinity
 0.00000, 16.40000, -3.60000, -Infinity
 0.00000, 16.80000, -3.20000, -Infinity
 0.00000, 17.20000, -2.80000, -Infinity
 0.00000, 17.60000, -2.40000, -Infinity
 0.00000, 18.00000, -2.00000, -Infinity
 0.00000, 18.40000, -1.60000, -Infinity
 0.00000, 18.80000, -1.20000, -Infinity
 0.00000, 19.20000, -0.80000, -Infinity
 0.00000, 19.60000, -0.40000, -Infinity
 0.00000, 20.00000,  0.00000, -Infinity
 0.00000, 20.40000,  0.40000, -Infinity
 0.00000, 20.80000,  0.80000, -Infinity
 0.00000, 21.20000,  1.20000, -Infinity
 0.00000, 21.60000,  1.60000, -Infinity
 0.00000, 22.00000,  2.00000, -Infinity
 0.00000, 22.40000,  2.40000, -Infinity
 0.00000, 22.80000,  2.80000, -Infinity
 0.00000, 23.20000,  3.20000, -Infinity
 0.00000, 23.60000,  3.60000, -Infinity
 0.00000, 24.00000,  4.00000, -Infinity
 0.00000, 24.40000,  4.40000, -Infinity
 0.00000, 24.80000,  4.80000, -Infinity
 0.00000, 25.20000,  5.20000, -Infinity
 0.00000, 25.60000,  5.60000, -Infinity
 0.00000, 26.00000,  6.00000, -Infinity
 0.00000, 26.40000,  6.40000, -Infinity
 0.00000, 26.80000,  6.80000, -Infinity
 0.00000, 27.20000,  7.20000, -Infinity
 0.00000, 27.60000,  7.60000, -Infinity
 0.00000, 28.00000,  8.00000, -Infinity
 0.00000, 28.40000,  8.40000, -Infinity
 0.00000, 28.80000,  8.80000, -Infinity
 0.00000, 29.20000,  9.20000, -Infinity
 0.00000, 29.60000,  9.60000, -Infinity
 0.00000, 30.00000, 10.00000, -Infinity
 0.00000, 30.40000, 10.40000, -Infinity
 0.00000, 30.80000, 10.80000, -Infinity
 0.00000, 31.20000, 11.20000, -Infinity
 0.00000, 31.60000, 11.60000, -Infinity
 0.00000, 32.00000, 12.00000, -Infinity
 0.00000, 32.40000, 12.40000, -Infinity
 0.00000, 32.80000, 12.80000, -Infinity
 0.00000, 33.20000, 13.20000, -Infinity
 0.00000, 33.60000, 13.60000, -Infinity
 0.00000, 34.00000, 14.00000, -Infinity
 0.00000, 34.40000, 14.40000, -Infinity
 0.00000, 34.80000, 14.80000, -Infinity

 0.40000, 12.00000, -8.00000, -28.81658
 0.40000, 12.40000, -7.60000, -28.81891
 0.40000, 12.80000, -7.20000, -28.82147
 0.40000, 13.20000, -6.80000, -28.82428
 0.40000, 13.60000, -6.40000, -28.82736
 0.40000, 14.00000, -6.00000, -28.83072
 0.40000, 14.40000, -5.60000, -28.83438
 0.40000, 14.80000, -5.20000, -28.83837
 0.40000, 15.20000, -4.80000, -28.84269
 0.40000, 15.60000, -4.40000, -28.84736
 0.40000, 16.00000, -4.00000, -28.85241
 0.40000, 16.40000, -3.60000, -50.53446
 0.40000, 16.80000, -3.20000, -172.31481
 0.40000, 17.20000, -2.80000, -376.56454
 0.40000, 17.60000, -2.40000, -673.91453
 0.40000, 18.00000, -2.00000, -1075.47563
 0.40000, 18.40000, -1.60000, -1592.83871
 0.40000, 18.80000, -1.20000, -2238.07461
 0.40000, 19.20000, -0.80000, -3023.73421
 0.40000, 19.60000, -0.40000, -3962.84837
 0.40000, 20.00000,  0.00000, -5068.92795
 0.40000, 20.40000,  0.40000, -6355.96380
 0.40000, 20.80000,  0.80000, -7838.42680
 0.40000, 21.20000,  1.20000, -9531.26781
 0.40000, 21.60000,  1.60000, -11449.91770
 0.40000, 22.00000,  2.00000, -13610.28731
 0.40000, 22.40000,  2.40000, -16028.76753
 0.40000, 22.80000,  2.80000, -18722.22922
 0.40000, 23.20000,  3.20000, -21708.02324
 0.40000, 23.60000,  3.60000, -25003.98047
 0.40000, 24.00000,  4.00000, -28628.41176
 0.40000, 24.40000,  4.40000, -32600.10798
 0.40000, 24.80000,  4.80000, -36938.34001
 0.40000, 25.20000,  5.20000, -41662.85872
 0.40000, 25.60000,  5.60000, -46793.89496
 0.40000, 26.00000,  6.00000, -52352.15961
 0.40000, 26.40000,  6.40000, -58358.84355
 0.40000, 26.80000,  6.80000, -64835.61763
 0.40000, 27.20000,  7.20000, -71804.63274
 0.40000, 27.60000,  7.60000, -79288.51975
 0.40000, 28.00000,  8.00000, -87310.38951
 0.40000, 28.40000,  8.40000, -95893.83292
 0.40000, 28.80000,  8.80000, -105062.92084
 0.40000, 29.20000,  9.20000, -114842.20415
 0.40000, 29.60000,  9.60000, -125256.71371
 0.40000, 30.00000, 10.00000, -136331.96041
 0.40000, 30.40000, 10.40000, -148093.93512
 0.40000, 30.80000, 10.80000, -160569.10871
 0.40000, 31.20000, 11.20000, -173784.43207
 0.40000, 31.60000, 11.60000, -187767.33606
 0.40000, 32.00000, 12.00000, -202545.73156
 0.40000, 32.40000, 12.40000, -218148.00946
 0.40000, 32.80000, 12.80000, -234603.04062
 0.40000, 33.20000, 13.20000, -251940.17593
 0.40000, 33.60000, 13.60000, -270189.24627
 0.40000, 34.00000, 14.00000, -289380.56252
 0.40000, 34.40000, 14.40000, -309544.91555
 0.40000, 34.80000, 14.80000, -330713.57625

 0.80000, 12.00000, -8.00000, -6.31658
 0.80000, 12.40000, -7.60000, -6.31891
 0.80000, 12.80000, -7.20000, -6.32147
 0.80000, 13.20000, -6.80000, -6.32428
 0.80000, 13.60000, -6.40000, -6.32736
 0.80000, 14.00000, -6.00000, -6.33072
 0.80000, 14.40000, -5.60000, -6.33438
 0.80000, 14.80000, -5.20000, -6.33837
 0.80000, 15.20000, -4.80000, -6.34269
 0.80000, 15.60000, -4.40000, -6.34736
 0.80000, 16.00000, -4.00000, -6.35241
 0.80000, 16.40000, -3.60000, -11.77700
 0.80000, 16.80000, -3.20000, -42.22648
 0.80000, 17.20000, -2.80000, -93.29363
 0.80000, 17.60000, -2.40000, -167.63618
 0.80000, 18.00000, -2.00000, -268.03187
 0.80000, 18.40000, -1.60000, -397.37842
 0.80000, 18.80000, -1.20000, -558.69357
 0.80000, 19.20000, -0.80000, -755.11506
 0.80000, 19.60000, -0.40000, -989.90060
 0.80000, 20.00000,  0.00000, -1266.42795
 0.80000, 20.40000,  0.40000, -1588.19482
 0.80000, 20.80000,  0.80000, -1958.81896
 0.80000, 21.20000,  1.20000, -2382.03810
 0.80000, 21.60000,  1.60000, -2861.70998
 0.80000, 22.00000,  2.00000, -3401.81232
 0.80000, 22.40000,  2.40000, -4006.44288
 0.80000, 22.80000,  2.80000, -4679.81938
 0.80000, 23.20000,  3.20000, -5426.27956
 0.80000, 23.60000,  3.60000, -6250.28116
 0.80000, 24.00000,  4.00000, -7156.40192
 0.80000, 24.40000,  4.40000, -8149.33958
 0.80000, 24.80000,  4.80000, -9233.91187
 0.80000, 25.20000,  5.20000, -10415.05654
 0.80000, 25.60000,  5.60000, -11697.83133
 0.80000, 26.00000,  6.00000, -13087.41397
 0.80000, 26.40000,  6.40000, -14589.10222
 0.80000, 26.80000,  6.80000, -16208.31380
 0.80000, 27.20000,  7.20000, -17950.58647
 0.80000, 27.60000,  7.60000, -19821.57796
 0.80000, 28.00000,  8.00000, -21827.06602
 0.80000, 28.40000,  8.40000, -23972.94839
 0.80000, 28.80000,  8.80000, -26265.24282
 0.80000, 29.20000,  9.20000, -28710.08705
 0.80000, 29.60000,  9.60000, -31313.73883
 0.80000, 30.00000, 10.00000, -34082.57590
 0.80000, 30.40000, 10.40000, -37023.09601
 0.80000, 30.80000, 10.80000, -40141.91690
 0.80000, 31.20000, 11.20000, -43445.77633
 0.80000, 31.60000, 11.60000, -46941.53204
 0.80000, 32.00000, 12.00000, -50636.16177
 0.80000, 32.40000, 12.40000, -54536.76329
 0.80000, 32.80000, 12.80000, -58650.55433
 0.80000, 33.20000, 13.20000, -62984.87264
 0.80000, 33.60000, 13.60000, -67547.17598
 0.80000, 34.00000, 14.00000, -72345.04210
 0.80000, 34.40000, 14.40000, -77386.16874
 0.80000, 34.80000, 14.80000, -82678.37367

 1.20000, 12.00000, -8.00000, -2.14992
 1.20000, 12.40000, -7.60000, -2.15224
 1.20000, 12.80000, -7.20000, -2.15480
 1.20000, 13.20000, -6.80000, -2.15761
 1.20000, 13.60000, -6.40000, -2.16069
 1.20000, 14.00000, -6.00000, -2.16405
 1.20000, 14.40000, -5.60000, -2.16772
 1.20000, 14.80000, -5.20000, -2.17170
 1.20000, 15.20000, -4.80000, -2.17602
 1.20000, 15.60000, -4.40000, -2.18069
 1.20000, 16.00000, -4.00000, -2.18574
 1.20000, 16.40000, -3.60000, -4.59969
 1.20000, 16.80000, -3.20000, -18.13605
 1.20000, 17.20000, -2.80000, -40.83605
 1.20000, 17.60000, -2.40000, -73.88093
 1.20000, 18.00000, -2.00000, -118.50524
 1.20000, 18.40000, -1.60000, -175.99689
 1.20000, 18.80000, -1.20000, -247.69709
 1.20000, 19.20000, -0.80000, -335.00040
 1.20000, 19.60000, -0.40000, -439.35472
 1.20000, 20.00000,  0.00000, -562.26128
 1.20000, 20.40000,  0.40000, -705.27464
 1.20000, 20.80000,  0.80000, -870.00269
 1.20000, 21.20000,  1.20000, -1058.10667
 1.20000, 21.60000,  1.60000, -1271.30114
 1.20000, 22.00000,  2.00000, -1511.35399
 1.20000, 22.40000,  2.40000, -1780.08646
 1.20000, 22.80000,  2.80000, -2079.37311
 1.20000, 23.20000,  3.20000, -2411.14184
 1.20000, 23.60000,  3.60000, -2777.37388
 1.20000, 24.00000,  4.00000, -3180.10380
 1.20000, 24.40000,  4.40000, -3621.41950
 1.20000, 24.80000,  4.80000, -4103.46222
 1.20000, 25.20000,  5.20000, -4628.42651
 1.20000, 25.60000,  5.60000, -5198.56029
 1.20000, 26.00000,  6.00000, -5816.16478
 1.20000, 26.40000,  6.40000, -6483.59456
 1.20000, 26.80000,  6.80000, -7203.25754
 1.20000, 27.20000,  7.20000, -7977.61493
 1.20000, 27.60000,  7.60000, -8809.18133
 1.20000, 28.00000,  8.00000, -9700.52463
 1.20000, 28.40000,  8.40000, -10654.26607
 1.20000, 28.80000,  8.80000, -11673.08022
 1.20000, 29.20000,  9.20000, -12759.69500
 1.20000, 29.60000,  9.60000, -13916.89163
 1.20000, 30.00000, 10.00000, -15147.50469
 1.20000, 30.40000, 10.40000, -16454.42210
 1.20000, 30.80000, 10.80000, -17840.58509
 1.20000, 31.20000, 11.20000, -19308.98823
 1.20000, 31.60000, 11.60000, -20862.67944
 1.20000, 32.00000, 12.00000, -22504.75996
 1.20000, 32.40000, 12.40000, -24238.38437
 1.20000, 32.80000, 12.80000, -26066.76057
 1.20000, 33.20000, 13.20000, -27993.14981
 1.20000, 33.60000, 13.60000, -30020.86667
 1.20000, 34.00000, 14.00000, -32153.27906
 1.20000, 34.40000, 14.40000, -34393.80822
 1.20000, 34.80000, 14.80000, -36745.92874

 1.60000, 12.00000, -8.00000, -0.69158
 1.60000, 12.40000, -7.60000, -0.69391
 1.60000, 12.80000, -7.20000, -0.69647
 1.60000, 13.20000, -6.80000, -0.69928
 1.60000, 13.60000, -6.40000, -0.70236
 1.60000, 14.00000, -6.00000, -0.70572
 1.60000, 14.40000, -5.60000, -0.70938
 1.60000, 14.80000, -5.20000, -0.71337
 1.60000, 15.20000, -4.80000, -0.71769
 1.60000, 15.60000, -4.40000, -0.72236
 1.60000, 16.00000, -4.00000, -0.72741
 1.60000, 16.40000, -3.60000, -2.08764
 1.60000, 16.80000, -3.20000, -9.70439
 1.60000, 17.20000, -2.80000, -22.47590
 1.60000, 17.60000, -2.40000, -41.06659
 1.60000, 18.00000, -2.00000, -66.17093
 1.60000, 18.40000, -1.60000, -98.51335
 1.60000, 18.80000, -1.20000, -138.84831
