# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
20.00000, 10.00000, -8.00000,  1.18000
20.00000, 10.00000, -7.60000,  1.18000
20.00000, 10.00000, -7.20000,  1.18000
20.00000, 10.00000, -6.80000,  1.18000
20.00000, 10.00000, -6.40000,  1.18000
20.00000, 10.00000, -6.00000,  1.18000
20.00000, 10.00000, -5.60000,  1.18000
20.00000, 10.00000, -5.20000,  1.18000
20.00000, 10.00000, -4.80000,  1.18000
20.00000, 10.00000, -4.40000,  1.18000
20.00000, 10.00000, -4.00000,  1.18000
20.00000, 10.00000, -3.60000,  1.17500
20.00000, 10.00000, -3.20000,  1.15155
20.00000, 10.00000, -2.80000,  1.11811
20.00000, 10.00000, -2.40000,  1.07466
20.00000, 10.00000, -2.00000,  1.02122
20.00000, 10.00000, -1.60000,  0.95778
20.00000, 10.00000, -1.20000,  0.88433
20.00000, 10.00000, -0.80000,  0.80089
20.00000, 10.00000, -0.40000,  0.70745
20.00000, 10.00000,  0.00000,  0.60400
20.00000, 10.00000,  0.40000,  0.49056
20.00000, 10.00000,  0.80000,  0.36712
20.00000, 10.00000,  1.20000,  0.23367
20.00000, 10.00000,  1.60000,  0.09023
20.00000, 10.00000,  2.00000, -0.06321
20.00000, 10.00000,  2.40000, -0.22666
20.00000, 10.00000,  2.80000, -0.40010
20.00000, 10.00000,  3.20000, -0.58354
20.00000, 10.00000,  3.60000, -0.77699
20.00000, 10.00000,  4.00000, -0.98043
20.00000, 10.00000,  4.40000, -1.19388
20.00000, 10.00000,  4.80000, -1.41732
20.00000, 10.00000,  5.20000, -1.65076
20.00000, 10.00000,  5.60000, -1.89421
20.00000, 10.00000,  6.00000, -2.14765
20.00000, 10.00000,  6.40000, -2.41109
20.00000, 10.00000,  6.80000, -2.68454
20.00000, 10.00000,  7.20000, -2.96798
20.00000, 10.00000,  7.60000, -3.26142
20.00000, 10.00000,  8.00000, -3.56487
20.00000, 10.00000,  8.40000, -3.87831
20.00000, 10.00000,  8.80000, -4.20175
20.00000, 10.00000,  9.20000, -4.53520
20.00000, 10.00000,  9.60000, -4.87864
20.00000, 10.00000, 10.00000, -5.23209
20.00000, 10.00000, 10.40000, -5.59553
20.00000, 10.00000, 10.80000, -5.96897
20.00000, 10.00000, 11.20000, -6.35242
20.00000, 10.00000, 11.60000, -6.74586
20.00000, 10.00000, 12.00000, -7.14930
20.00000, 10.00000, 12.40000, -7.56275
20.00000, 10.00000, 12.80000, -7.98619
20.00000, 10.00000, 13.20000, -8.41963
20.00000, 10.00000, 13.60000, -8.86308
20.00000, 10.00000, 14.00000, -9.31652
20.00000, 10.00000, 14.40000, -9.77996
20.00000, 10.00000, 14.80000, -10.25341

20.00000, 10.40000, -8.00000,  1.17865
20.00000, 10.40000, -7.60000,  1.17865
20.00000, 10.40000, -7.20000,  1.17865
20.00000, 10.40000, -6.80000,  1.17865
20.00000, 10.40000, -6.40000,  1.17865
20.00000, 10.40000, -6.00000,  1.17865
20.00000, 10.40000, -5.60000,  1.17865
20.00000, 10.40000, -5.20000,  1.17865
20.00000, 10.40000, -4.80000,  1.17865
20.00000, 10.40000, -4.40000,  1.17865
20.00000, 10.40000, -4.00000,  1.17865
20.00000, 10.40000, -3.60000,  1.17342
20.00000, 10.40000, -3.20000,  1.14871
20.00000, 10.40000, -2.80000,  1.11318
20.00000, 10.40000, -2.40000,  1.06683
20.00000, 10.40000, -2.00000,  1.00967
20.00000, 10.40000, -1.60000,  0.94170
20.00000, 10.40000, -1.20000,  0.86291
20.00000, 10.40000, -0.80000,  0.77330
20.00000, 10.40000, -0.40000,  0.67287
20.00000, 10.40000,  0.00000,  0.56163
20.00000, 10.40000,  0.40000,  0.43958
20.00000, 10.40000,  0.80000,  0.30671
20.00000, 10.40000,  1.20000,  0.16302
20.00000, 10.40000,  1.60000,  0.00851
20.00000, 10.40000,  2.00000, -0.15681
20.00000, 10.40000,  2.40000, -0.33294
20.00000, 10.40000,  2.80000, -0.51989
20.00000, 10.40000,  3.20000, -0.71766
20.00000, 10.40000,  3.60000, -0.92625
20.00000, 10.40000,  4.00000, -1.14565
20.00000, 10.40000,  4.40000, -1.37586
20.00000, 10.40000,  4.80000, -1.61689
20.00000, 10.40000,  5.20000, -1.86874
20.00000, 10.40000,  5.60000, -2.13141
20.00000, 10.40000,  6.00000, -2.40489
20.00000, 10.40000,  6.40000, -2.68918
20.00000, 10.40000,  6.80000, -2.98430
20.00000, 10.40000,  7.20000, -3.29022
20.00000, 10.40000,  7.60000, -3.60697
20.00000, 10.40000,  8.00000, -3.93453
20.00000, 10.40000,  8.40000, -4.27290
20.00000, 10.40000,  8.80000, -4.62210
20.00000, 10.40000,  9.20000, -4.98210
20.00000, 10.40000,  9.60000, -5.35293
20.00000, 10.40000, 10.00000, -5.73457
20.00000, 10.40000, 10.40000, -6.12702
20.00000, 10.40000, 10.80000, -6.53030
20.00000, 10.40000, 11.20000, -6.94438
20.00000, 10.40000, 11.60000, -7.36929
20.00000, 10.40000, 12.00000, -7.80501
20.00000, 10.40000, 12.40000, -8.25154
20.00000, 10.40000, 12.80000, -8.70890
20.00000, 10.40000, 13.20000, -9.17706
20.00000, 10.40000, 13.60000, -9.65605
20.00000, 10.40000, 14.00000, -10.14585
20.00000, 10.40000, 14.40000, -10.64646
20.00000, 10.40000, 14.80000, -11.15790

20.00000, 10.80000, -8.00000,  1.17712
20.00000, 10.80000, -7.60000,  1.17712
20.00000, 10.80000, -7.20000,  1.17712
20.00000, 10.80000, -6.80000,  1.17712
20.00000, 10.80000, -6.40000,  1.17712
20.00000, 10.80000, -6.00000,  1.17712
20.00000, 10.80000, -5.60000,  1.17712
20.00000, 10.80000, -5.20000,  1.17712
20.00000, 10.80000, -4.80000,  1.17712
20.00000, 10.80000, -4.40000,  1.17712
20.00000, 10.80000, -4.00000,  1.17712
20.00000, 10.80000, -3.60000,  1.17167
20.00000, 10.80000, -3.20000,  1.14567
20.00000, 10.80000, -2.80000,  1.10800
20.00000, 10.80000, -2.40000,  1.05866
20.00000, 10.80000, -2.00000,  0.99767
20.00000, 10.80000, -1.60000,  0.92500
20.00000, 10.80000, -1.20000,  0.84068
20.00000, 10.80000, -0.80000,  0.74469
20.00000, 10.80000, -0.40000,  0.63703
20.00000, 10.80000,  0.00000,  0.51772
20.00000, 10.80000,  0.40000,  0.38673
20.00000, 10.80000,  0.80000,  0.24409
20.00000, 10.80000,  1.20000,  0.08978
20.00000, 10.80000,  1.60000, -0.07620
20.00000, 10.80000,  2.00000, -0.25383
20.00000, 10.80000,  2.40000, -0.44314
20.00000, 10.80000,  2.80000, -0.64410
20.00000, 10.80000,  3.20000, -0.85673
20.00000, 10.80000,  3.60000, -1.08103
20.00000, 10.80000,  4.00000, -1.31698
20.00000, 10.80000,  4.40000, -1.56461
20.00000, 10.80000,  4.80000, -1.82389
20.00000, 10.80000,  5.20000, -2.09484
20.00000, 10.80000,  5.60000, -2.37746
20.00000, 10.80000,  6.00000, -2.67173
20.00000, 10.80000,  6.40000, -2.97768
20.00000, 10.80000,  6.80000, -3.29528
20.00000, 10.80000,  7.20000, -3.62455
20.00000, 10.80000,  7.60000, -3.96549
20.00000, 10.80000,  8.00000, -4.31808
20.00000, 10.80000,  8.40000, -4.68235
20.00000, 10.80000,  8.80000, -5.05827
20.00000, 10.80000,  9.20000, -5.44586
20.00000, 10.80000,  9.60000, -5.84512
20.00000, 10.80000, 10.00000, -6.25604
20.00000, 10.80000, 10.40000, -6.67862
20.00000, 10.80000, 10.80000, -7.11286
20.00000, 10.80000, 11.20000, -7.55877
20.00000, 10.80000, 11.60000, -8.01635
20.00000, 10.80000, 12.00000, -8.48559
20.00000, 10.80000, 12.40000, -8.96649
20.00000, 10.80000, 12.80000, -9.45905
20.00000, 10.80000, 13.20000, -9.96328
20.00000, 10.80000, 13.60000, -10.47918
20.00000, 10.80000, 14.00000, -11.00674
20.00000, 10.80000, 14.40000, -11.54596
20.00000, 10.80000, 14.80000, -12.09684

20.00000, 11.20000, -8.00000,  1.17542
20.00000, 11.20000, -7.60000,  1.17542
20.00000, 11.20000, -7.20000,  1.17542
20.00000, 11.20000, -6.80000,  1.17542
20.00000, 11.20000, -6.40000,  1.17542
20.00000, 11.20000, -6.00000,  1.17542
20.00000, 11.20000, -5.60000,  1.17542
20.00000, 11.20000, -5.20000,  1.17542
20.00000, 11.20000, -4.80000,  1.17542
20.00000, 11.20000, -4.40000,  1.17542
20.00000, 11.20000, -4.00000,  1.17542
20.00000, 11.20000, -3.60000,  1.16975
