# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
 0.00000, 10.00000,  0.00000, -Infinity
 0.40000, 10.00000,  0.00000, -1468.80800
 0.80000, 10.00000,  0.00000, -366.30800
 1.20000, 10.00000,  0.00000, -162.14133
 1.60000, 10.00000,  0.00000, -90.68300
 2.00000, 10.00000,  0.00000, -57.60800
 2.40000, 10.00000,  0.00000, -39.64133
 2.80000, 10.00000,  0.00000, -28.80800
 3.20000, 10.00000,  0.00000, -21.77675
 3.60000, 10.00000,  0.00000, -16.95614
 4.00000, 10.00000,  0.00000, -13.50800
 4.40000, 10.00000,  0.00000, -10.95676
 4.80000, 10.00000,  0.00000, -9.01633
 5.20000, 10.00000,  0.00000, -7.50622
 5.60000, 10.00000,  0.00000, -6.30800
 6.00000, 10.00000,  0.00000, -5.34133
 6.40000, 10.00000,  0.00000, -4.55018
 6.80000, 10.00000,  0.00000, -3.89450
 7.20000, 10.00000,  0.00000, -3.34503
 7.60000, 10.00000,  0.00000, -2.88002
 8.00000, 10.00000,  0.00000, -2.48300
 8.40000, 10.00000,  0.00000, -2.14133
 8.80000, 10.00000,  0.00000, -1.84519
 9.20000, 10.00000,  0.00000, -1.58682
 9.60000, 10.00000,  0.00000, -1.36008
10.00000, 10.00000,  0.00000, -1.16000
10.40000, 10.00000,  0.00000, -0.98255
10.80000, 10.00000,  0.00000, -0.82446
11.20000, 10.00000,  0.00000, -0.68300
11.60000, 10.00000,  0.00000, -0.55592
12.00000, 10.00000,  0.00000, -0.44133
12.40000, 10.00000,  0.00000, -0.33765
12.80000, 10.00000,  0.00000, -0.24354
13.20000, 10.00000,  0.00000, -0.15786
13.60000, 10.00000,  0.00000, -0.07962
14.00000, 10.00000,  0.00000, -0.00800
14.40000, 10.00000,  0.00000,  0.05774
14.80000, 10.00000,  0.00000,  0.11823
15.20000, 10.00000,  0.00000,  0.17400
15.60000, 10.00000,  0.00000,  0.22553
16.00000, 10.00000,  0.00000,  0.27325
16.40000, 10.00000,  0.00000,  0.31752
16.80000, 10.00000,  0.00000,  0.35867
17.20000, 10.00000,  0.00000,  0.39698
17.60000, 10.00000,  0.00000,  0.43271
18.00000, 10.00000,  0.00000,  0.46608
18.40000, 10.00000,  0.00000,  0.49730
18.80000, 10.00000,  0.00000,  0.52654
19.20000, 10.00000,  0.00000,  0.55398
19.60000, 10.00000,  0.00000,  0.57976
20.00000, 10.00000,  0.00000,  0.60400
20.40000, 10.00000,  0.00000,  0.62684
20.80000, 10.00000,  0.00000,  0.64836
21.20000, 10.00000,  0.00000,  0.66869
21.60000, 10.00000,  0.00000,  0.68789
22.00000, 10.00000,  0.00000,  0.70605
22.40000, 10.00000,  0.00000,  0.72325
22.80000, 10.00000,  0.00000,  0.73956
23.20000, 10.00000,  0.00000,  0.75502
23.60000, 10.00000,  0.00000,  0.76971
24.00000, 10.00000,  0.00000,  0.78367
24.40000, 10.00000,  0.00000,  0.79695
24.80000, 10.00000,  0.00000,  0.80959
25.20000, 10.00000,  0.00000,  0.82163
25.60000, 10.00000,  0.00000,  0.83312
26.00000, 10.00000,  0.00000,  0.84407
26.40000, 10.00000,  0.00000,  0.85454
26.80000, 10.00000,  0.00000,  0.86454
27.20000, 10.00000,  0.00000,  0.87410
27.60000, 10.00000,  0.00000,  0.88324
28.00000, 10.00000,  0.00000,  0.89200
28.40000, 10.00000,  0.00000,  0.90039
28.80000, 10.00000,  0.00000,  0.90844
29.20000, 10.00000,  0.00000,  0.91615
29.60000, 10.00000,  0.00000,  0.92356
30.00000, 10.00000,  0.00000,  0.93067
30.40000, 10.00000,  0.00000,  0.93750
30.80000, 10.00000,  0.00000,  0.94407
31.20000, 10.00000,  0.00000,  0.95039
31.60000, 10.00000,  0.00000,  0.95646
32.00000, 10.00000,  0.00000,  0.96232
32.40000, 10.00000,  0.00000,  0.96795
32.80000, 10.00000,  0.00000,  0.97338
33.20000, 10.00000,  0.00000,  0.97862
33.60000, 10.00000,  0.00000,  0.98367
34.00000, 10.00000,  0.00000,  0.98854
34.40000, 10.00000,  0.00000,  0.99325
34.80000, 10.00000,  0.00000,  0.99779
35.20000, 10.00000,  0.00000,  1.00218
35.60000, 10.00000,  0.00000,  1.00642
36.00000, 10.00000,  0.00000,  1.01052
36.40000, 10.00000,  0.00000,  1.01449
36.80000, 10.00000,  0.00000,  1.01833
37.20000, 10.00000,  0.00000,  1.02204
37.60000, 10.00000,  0.00000,  1.02564
38.00000, 10.00000,  0.00000,  1.02912
38.40000, 10.00000,  0.00000,  1.03250
38.80000, 10.00000,  0.00000,  1.03577
39.20000, 10.00000,  0.00000,  1.03894
39.60000, 10.00000,  0.00000,  1.04202
40.00000, 10.00000,  0.00000,  1.04500
40.40000, 10.00000,  0.00000,  1.04790
40.80000, 10.00000,  0.00000,  1.05071
41.20000, 10.00000,  0.00000,  1.05344
41.60000, 10.00000,  0.00000,  1.05609
42.00000, 10.00000,  0.00000,  1.05867
42.40000, 10.00000,  0.00000,  1.06117
42.80000, 10.00000,  0.00000,  1.06361
43.20000, 10.00000,  0.00000,  1.06597
43.60000, 10.00000,  0.00000,  1.06828
44.00000, 10.00000,  0.00000,  1.07052
44.40000, 10.00000,  0.00000,  1.07269
44.80000, 10.00000,  0.00000,  1.07482
45.20000, 10.00000,  0.00000,  1.07688
45.60000, 10.00000,  0.00000,  1.07889
46.00000, 10.00000,  0.00000,  1.08085
46.40000, 10.00000,  0.00000,  1.08276
46.80000, 10.00000,  0.00000,  1.08462
47.20000, 10.00000,  0.00000,  1.08643
47.60000, 10.00000,  0.00000,  1.08820
48.00000, 10.00000,  0.00000,  1.08992
48.40000, 10.00000,  0.00000,  1.09160
48.80000, 10.00000,  0.00000,  1.09324
49.20000, 10.00000,  0.00000,  1.09484
49.60000, 10.00000,  0.00000,  1.09640
50.00000, 10.00000,  0.00000,  1.09792
50.40000, 10.00000,  0.00000,  1.09941
50.80000, 10.00000,  0.00000,  1.10086
51.20000, 10.00000,  0.00000,  1.10228
51.60000, 10.00000,  0.00000,  1.10367
52.00000, 10.00000,  0.00000,  1.10502
52.40000, 10.00000,  0.00000,  1.10634
52.80000, 10.00000,  0.00000,  1.10764
53.20000, 10.00000,  0.00000,  1.10890
53.60000, 10.00000,  0.00000,  1.11014
54.00000, 10.00000,  0.00000,  1.11134
54.40000, 10.00000,  0.00000,  1.11253
54.80000, 10.00000,  0.00000,  1.11368
55.20000, 10.00000,  0.00000,  1.11481
55.60000, 10.00000,  0.00000,  1.11592
56.00000, 10.00000,  0.00000,  1.11700
56.40000, 10.00000,  0.00000,  1.11806
56.80000, 10.00000,  0.00000,  1.11910
57.20000, 10.00000,  0.00000,  1.12012
57.60000, 10.00000,  0.00000,  1.12111
58.00000, 10.00000,  0.00000,  1.12209
58.40000, 10.00000,  0.00000,  1.12304
58.80000, 10.00000,  0.00000,  1.12398
59.20000, 10.00000,  0.00000,  1.12489
59.60000, 10.00000,  0.00000,  1.12579
60.00000, 10.00000,  0.00000,  1.12667
60.40000, 10.00000,  0.00000,  1.12753
60.80000, 10.00000,  0.00000,  1.12838
61.20000, 10.00000,  0.00000,  1.12921
61.60000, 10.00000,  0.00000,  1.13002
62.00000, 10.00000,  0.00000,  1.13082
62.40000, 10.00000,  0.00000,  1.13160
62.80000, 10.00000,  0.00000,  1.13237
63.20000, 10.00000,  0.00000,  1.13312
63.60000, 10.00000,  0.00000,  1.13386
64.00000, 10.00000,  0.00000,  1.13458
64.40000, 10.00000,  0.00000,  1.13529
64.80000, 10.00000,  0.00000,  1.13599
65.20000, 10.00000,  0.00000,  1.13668
65.60000, 10.00000,  0.00000,  1.13735
66.00000, 10.00000,  0.00000,  1.13801
66.40000, 10.00000,  0.00000,  1.13866
66.80000, 10.00000,  0.00000,  1.13929
67.20000, 10.00000,  0.00000,  1.13992
67.60000, 10.00000,  0.00000,  1.14053
68.00000, 10.00000,  0.00000,  1.14114
68.40000, 10.00000,  0.00000,  1.14173
68.80000, 10.00000,  0.00000,  1.14231
69.20000, 10.00000,  0.00000,  1.14289
69.60000, 10.00000,  0.00000,  1.14345
70.00000, 10.00000,  0.00000,  1.14400

 0.00000, 10.40000,  0.00000, -Infinity
 0.40000, 10.40000,  0.00000, -1571.33735
 0.80000, 10.40000,  0.00000, -391.94135
 1.20000, 10.40000,  0.00000, -173.53469
 1.60000, 10.40000,  0.00000, -97.09235
 2.00000, 10.40000,  0.00000, -61.71047
 2.40000, 10.40000,  0.00000, -42.49069
 2.80000, 10.40000,  0.00000, -30.90176
 3.20000, 10.40000,  0.00000, -23.38010
 3.60000, 10.40000,  0.00000, -18.22328
 4.00000, 10.40000,  0.00000, -14.53463
 4.40000, 10.40000,  0.00000, -11.80545
 4.80000, 10.40000,  0.00000, -9.72969
 5.20000, 10.40000,  0.00000, -8.11425
 5.60000, 10.40000,  0.00000, -6.83246
 6.00000, 10.40000,  0.00000, -5.79837
 6.40000, 10.40000,  0.00000, -4.95204
 6.80000, 10.40000,  0.00000, -4.25063
 7.20000, 10.40000,  0.00000, -3.66284
 7.60000, 10.40000,  0.00000, -3.16539
 8.00000, 10.40000,  0.00000, -2.74067
 8.40000, 10.40000,  0.00000, -2.37518
 8.80000, 10.40000,  0.00000, -2.05838
 9.20000, 10.40000,  0.00000, -1.78200
 9.60000, 10.40000,  0.00000, -1.53944
10.00000, 10.40000,  0.00000, -1.32540
10.40000, 10.40000,  0.00000, -1.13558
10.80000, 10.40000,  0.00000, -0.96646
11.20000, 10.40000,  0.00000, -0.81513
11.60000, 10.40000,  0.00000, -0.67919
12.00000, 10.40000,  0.00000, -0.55661
12.40000, 10.40000,  0.00000, -0.44570
12.80000, 10.40000,  0.00000, -0.34503
13.20000, 10.40000,  0.00000, -0.25337
13.60000, 10.40000,  0.00000, -0.16967
14.00000, 10.40000,  0.00000, -0.09305
14.40000, 10.40000,  0.00000, -0.02273
14.80000, 10.40000,  0.00000,  0.04198
15.20000, 10.40000,  0.00000,  0.10164
15.60000, 10.40000,  0.00000,  0.15677
16.00000, 10.40000,  0.00000,  0.20782
16.40000, 10.40000,  0.00000,  0.25517
16.80000, 10.40000,  0.00000,  0.29919
17.20000, 10.40000,  0.00000,  0.34017
17.60000, 10.40000,  0.00000,  0.37839
18.00000, 10.40000,  0.00000,  0.41409
18.40000, 10.40000,  0.00000,  0.44748
18.80000, 10.40000,  0.00000,  0.47877
19.20000, 10.40000,  0.00000,  0.50812
19.60000, 10.40000,  0.00000,  0.53570
20.00000, 10.40000,  0.00000,  0.56163
20.40000, 10.40000,  0.00000,  0.58606
20.80000, 10.40000,  0.00000,  0.60909
21.20000, 10.40000,  0.00000,  0.63083
21.60000, 10.40000,  0.00000,  0.65137
22.00000, 10.40000,  0.00000,  0.67080
22.40000, 10.40000,  0.00000,  0.68920
22.80000, 10.40000,  0.00000,  0.70664
23.20000, 10.40000,  0.00000,  0.72319
23.60000, 10.40000,  0.00000,  0.73890
24.00000, 10.40000,  0.00000,  0.75383
24.40000, 10.40000,  0.00000,  0.76804
24.80000, 10.40000,  0.00000,  0.78156
25.20000, 10.40000,  0.00000,  0.79444
25.60000, 10.40000,  0.00000,  0.80673
26.00000, 10.40000,  0.00000,  0.81845
26.40000, 10.40000,  0.00000,  0.82964
26.80000, 10.40000,  0.00000,  0.84034
27.20000, 10.40000,  0.00000,  0.85057
27.60000, 10.40000,  0.00000,  0.86035
28.00000, 10.40000,  0.00000,  0.86972
28.40000, 10.40000,  0.00000,  0.87870
28.80000, 10.40000,  0.00000,  0.88730
29.20000, 10.40000,  0.00000,  0.89556
29.60000, 10.40000,  0.00000,  0.90348
30.00000, 10.40000,  0.00000,  0.91108
30.40000, 10.40000,  0.00000,  0.91839
30.80000, 10.40000,  0.00000,  0.92542
31.20000, 10.40000,  0.00000,  0.93218
31.60000, 10.40000,  0.00000,  0.93868
32.00000, 10.40000,  0.00000,  0.94494
32.40000, 10.40000,  0.00000,  0.95097
32.80000, 10.40000,  0.00000,  0.95678
33.20000, 10.40000,  0.00000,  0.96238
33.60000, 10.40000,  0.00000,  0.96778
34.00000, 10.40000,  0.00000,  0.97299
34.40000, 10.40000,  0.00000,  0.97803
34.80000, 10.40000,  0.00000,  0.98289
35.20000, 10.40000,  0.00000,  0.98758
