# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
 0.00000, 20.00000, -8.00000,  0.71826
 0.00000, 20.00000, -7.60000,  0.44759
 0.00000, 20.00000, -7.20000,  0.56048
 0.00000, 20.00000, -6.80000,  0.55381
 0.00000, 20.00000, -6.40000,  0.78602
 0.00000, 20.00000, -6.00000,  0.74492
 0.00000, 20.00000, -5.60000,  0.36735
 0.00000, 20.00000, -5.20000,  0.70918
 0.00000, 20.00000, -4.80000,  0.84763
 0.00000, 20.00000, -4.40000,  0.33022
 0.00000, 20.00000, -4.00000,  0.89020
 0.00000, 20.00000, -3.60000,  0.96277
 0.00000, 20.00000, -3.20000,  0.34511
 0.00000, 20.00000, -2.80000,  0.34652
 0.00000, 20.00000, -2.40000,  0.64567
 0.00000, 20.00000, -2.00000,  0.20126
 0.00000, 20.00000, -1.60000,  0.05777
 0.00000, 20.00000, -1.20000, -0.26240
 0.00000, 20.00000, -0.80000, -0.43028
 0.00000, 20.00000, -0.40000, -0.57928
 0.00000, 20.00000,  0.00000, -0.97898
 0.00000, 20.00000,  0.40000, -1.22908
 0.00000, 20.00000,  0.80000, -1.64331
 0.00000, 20.00000,  1.20000, -1.81340
 0.00000, 20.00000,  1.60000, -2.11636
 0.00000, 20.00000,  2.00000, -2.49553
 0.00000, 20.00000,  2.40000, -3.30096
 0.00000, 20.00000,  2.80000, -3.54791
 0.00000, 20.00000,  3.20000, -3.80320
 0.00000, 20.00000,  3.60000, -4.52451
 0.00000, 20.00000,  4.00000, -3.44462
 0.00000, 20.00000,  4.40000, -3.67286
 0.00000, 20.00000,  4.80000, -5.09847
 0.00000, 20.00000,  5.20000, -5.18768
 0.00000, 20.00000,  5.60000, -6.40093
 0.00000, 20.00000,  6.00000, -5.11268
 0.00000, 20.00000,  6.40000, -5.20325
 0.00000, 20.00000,  6.80000, -7.45434
 0.00000, 20.00000,  7.20000, -7.01240
 0.00000, 20.00000,  7.60000, -6.12974
 0.00000, 20.00000,  8.00000, -8.75743
 0.00000, 20.00000,  8.40000, -7.06321
 0.00000, 20.00000,  8.80000, -6.49371
 0.00000, 20.00000,  9.20000, -7.61334
 0.00000, 20.00000,  9.60000, -8.07550
 0.00000, 20.00000, 10.00000, -7.77182
 0.00000, 20.00000, 10.40000, -7.71667
 0.00000, 20.00000, 10.80000, -8.97778
 0.00000, 20.00000, 11.20000, -8.67502
