# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
 0.00000, 12.00000, -8.00000,  0.53042
 0.00000, 12.40000, -7.60000,  0.40668
 0.00000, 12.80000, -7.20000,  0.74783
 0.00000, 13.20000, -6.80000,  0.41095
 0.00000, 13.60000, -6.40000,  0.71321
 0.00000, 14.00000, -6.00000,  0.52179
 0.00000, 14.40000, -5.60000,  0.28528
 0.00000, 14.80000, -5.20000,  0.64121
 0.00000, 15.20000, -4.80000,  0.95713
 0.00000, 15.60000, -4.40000,  0.57831
 0.00000, 16.00000, -4.00000,  0.78938
 0.00000, 16.40000, -3.60000,  0.67779
 0.00000, 16.80000, -3.20000,  0.51045
 0.00000, 17.20000, -2.80000,  0.47666
 0.00000, 17.60000, -2.40000,  0.75559
 0.00000, 18.00000, -2.00000,  0.63417
 0.00000, 18.40000, -1.60000,  0.43594
 0.00000, 18.80000, -1.20000,  0.11998
 0.00000, 19.20000, -0.80000, -0.45262
 0.00000, 19.60000, -0.40000, -0.60423
 0.00000, 20.00000,  0.00000, -0.97997
 0.00000, 20.40000,  0.40000, -1.33664
 0.00000, 20.80000,  0.80000, -1.66677
 0.00000, 21.20000,  1.20000, -2.12598
 0.00000, 21.60000,  1.60000, -2.00746
 0.00000, 22.00000,  2.00000, -2.22958
 0.00000, 22.40000,  2.40000, -2.93027
 0.00000, 22.80000,  2.80000, -3.63528
 0.00000, 23.20000,  3.20000, -3.63001
 0.00000, 23.60000,  3.60000, -4.05588
 0.00000, 24.00000,  4.00000, -4.71061
 0.00000, 24.40000,  4.40000, -5.13177
 0.00000, 24.80000,  4.80000, -4.33899
 0.00000, 25.20000,  5.20000, -5.98129
 0.00000, 25.60000,  5.60000, -4.74620
 0.00000, 26.00000,  6.00000, -6.67459
 0.00000, 26.40000,  6.40000, -6.49345
 0.00000, 26.80000,  6.80000, -7.00293
 0.00000, 27.20000,  7.20000, -6.30016
 0.00000, 27.60000,  7.60000, -6.79198
 0.00000, 28.00000,  8.00000, -6.02982
 0.00000, 28.40000,  8.40000, -7.61246
 0.00000, 28.80000,  8.80000, -9.65408
 0.00000, 29.20000,  9.20000, -9.53008
 0.00000, 29.60000,  9.60000, -10.05195
 0.00000, 30.00000, 10.00000, -9.17769
 0.00000, 30.40000, 10.40000, -11.26298
 0.00000, 30.80000, 10.80000, -9.15636
 0.00000, 31.20000, 11.20000, -8.15870
 0.00000, 31.60000, 11.60000, -9.04775
 0.00000, 32.00000, 12.00000, -11.43929
 0.00000, 32.40000, 12.40000, -8.75355
 0.00000, 32.80000, 12.80000, -11.48035
 0.00000, 33.20000, 13.20000, -13.06817
 0.00000, 33.60000, 13.60000, -13.18160
 0.00000, 34.00000, 14.00000, -11.24928
 0.00000, 34.40000, 14.40000, -12.94478
 0.00000, 34.80000, 14.80000, -10.02733

 0.40000, 12.00000, -8.00000,  0.93397
