# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
20.00000, 10.00000, -8.00000,  0.43086
20.00000, 10.00000, -7.60000,  0.62951
20.00000, 10.00000, -7.20000,  0.30485
20.00000, 10.00000, -6.80000,  0.82630
20.00000, 10.00000, -6.40000,  0.56675
20.00000, 10.00000, -6.00000,  0.24894
20.00000, 10.00000, -5.60000,  0.50477
20.00000, 10.00000, -5.20000,  0.57124
20.00000, 10.00000, -4.80000,  0.68430
20.00000, 10.00000, -4.40000,  0.90821
20.00000, 10.00000, -4.00000,  0.95663
20.00000, 10.00000, -3.60000,  0.93469
20.00000, 10.00000, -3.20000,  0.73476
20.00000, 10.00000, -2.80000,  0.69514
20.00000, 10.00000, -2.40000,  0.51584
20.00000, 10.00000, -2.00000,  0.58301
20.00000, 10.00000, -1.60000,  0.33286
20.00000, 10.00000, -1.20000,  0.65164
20.00000, 10.00000, -0.80000,  0.99508
20.00000, 10.00000, -0.40000,  0.87088
20.00000, 10.00000,  0.00000,  0.01220
20.00000, 10.00000,  0.40000, -0.05663
20.00000, 10.00000,  0.80000, -0.36271
20.00000, 10.00000,  1.20000, -0.53893
20.00000, 10.00000,  1.60000, -0.81486
20.00000, 10.00000,  2.00000, -1.04582
20.00000, 10.00000,  2.40000, -1.32575
20.00000, 10.00000,  2.80000, -1.62555
20.00000, 10.00000,  3.20000, -1.80081
20.00000, 10.00000,  3.60000, -2.00524
20.00000, 10.00000,  4.00000, -2.03190
20.00000, 10.00000,  4.40000, -2.19437
20.00000, 10.00000,  4.80000, -2.47649
20.00000, 10.00000,  5.20000, -2.55005
20.00000, 10.00000,  5.60000, -3.18074
20.00000, 10.00000,  6.00000, -3.21851
20.00000, 10.00000,  6.40000, -3.23546
20.00000, 10.00000,  6.80000, -3.99054
20.00000, 10.00000,  7.20000, -3.91775
20.00000, 10.00000,  7.60000, -3.23860
20.00000, 10.00000,  8.00000, -4.42776
20.00000, 10.00000,  8.40000, -4.15023
20.00000, 10.00000,  8.80000, -3.40438
20.00000, 10.00000,  9.20000, -3.51264
20.00000, 10.00000,  9.60000, -4.34110
20.00000, 10.00000, 10.00000, -3.52677
20.00000, 10.00000, 10.40000, -4.76768
20.00000, 10.00000, 10.80000, -4.13495
20.00000, 10.00000, 11.20000, -4.09430
20.00000, 10.00000, 11.60000, -4.10988
20.00000, 10.00000, 12.00000, -3.85299
20.00000, 10.00000, 12.40000, -3.50702
20.00000, 10.00000, 12.80000, -3.72330
20.00000, 10.00000, 13.20000, -3.38287
20.00000, 10.00000, 13.60000, -3.21468
20.00000, 10.00000, 14.00000, -3.18880
20.00000, 10.00000, 14.40000, -3.49742
20.00000, 10.00000, 14.80000, -3.25096

20.00000, 10.40000, -8.00000,  0.45632
20.00000, 10.40000, -7.60000,  0.98019
20.00000, 10.40000, -7.20000,  0.88962
20.00000, 10.40000, -6.80000,  0.77528
20.00000, 10.40000, -6.40000,  0.27601
20.00000, 10.40000, -6.00000,  0.89387
20.00000, 10.40000, -5.60000,  0.32092
20.00000, 10.40000, -5.20000,  0.72379
20.00000, 10.40000, -4.80000,  0.64548
20.00000, 10.40000, -4.40000,  0.57024
20.00000, 10.40000, -4.00000,  0.51939
20.00000, 10.40000, -3.60000,  0.63546
20.00000, 10.40000, -3.20000,  0.51157
20.00000, 10.40000, -2.80000,  0.40178
20.00000, 10.40000, -2.40000,  0.41978
20.00000, 10.40000, -2.00000,  0.32138
20.00000, 10.40000, -1.60000,  0.46470
20.00000, 10.40000, -1.20000,  0.28578
20.00000, 10.40000, -0.80000,  0.86459
20.00000, 10.40000, -0.40000,  0.41898
20.00000, 10.40000,  0.00000,  0.00028
20.00000, 10.40000,  0.40000, -0.06143
20.00000, 10.40000,  0.80000, -0.42329
20.00000, 10.40000,  1.20000, -0.47207
20.00000, 10.40000,  1.60000, -0.81417
20.00000, 10.40000,  2.00000, -1.11904
20.00000, 10.40000,  2.40000, -1.31222
20.00000, 10.40000,  2.80000, -1.68176
20.00000, 10.40000,  3.20000, -1.98638
20.00000, 10.40000,  3.60000, -1.94405
20.00000, 10.40000,  4.00000, -2.64148
20.00000, 10.40000,  4.40000, -2.67787
20.00000, 10.40000,  4.80000, -3.05423
20.00000, 10.40000,  5.20000, -3.50917
20.00000, 10.40000,  5.60000, -3.54834
20.00000, 10.40000,  6.00000, -3.59053
20.00000, 10.40000,  6.40000, -3.88337
20.00000, 10.40000,  6.80000, -3.63419
20.00000, 10.40000,  7.20000, -4.59539
20.00000, 10.40000,  7.60000, -4.02794
20.00000, 10.40000,  8.00000, -4.22393
20.00000, 10.40000,  8.40000, -4.47501
20.00000, 10.40000,  8.80000, -4.90515
20.00000, 10.40000,  9.20000, -5.15496
20.00000, 10.40000,  9.60000, -3.85270
20.00000, 10.40000, 10.00000, -4.36364
20.00000, 10.40000, 10.40000, -4.12725
20.00000, 10.40000, 10.80000, -4.13000
20.00000, 10.40000, 11.20000, -4.38314
20.00000, 10.40000, 11.60000, -5.02653
20.00000, 10.40000, 12.00000, -4.92488
20.00000, 10.40000, 12.40000, -4.60822
20.00000, 10.40000, 12.80000, -4.68802
20.00000, 10.40000, 13.20000, -4.08826
20.00000, 10.40000, 13.60000, -4.22133
20.00000, 10.40000, 14.00000, -3.23933
20.00000, 10.40000, 14.40000, -3.52304
20.00000, 10.40000, 14.80000, -3.21991

20.00000, 10.80000, -8.00000,  0.41658
20.00000, 10.80000, -7.60000,  0.64628
20.00000, 10.80000, -7.20000,  0.84734
20.00000, 10.80000, -6.80000,  0.88773
20.00000, 10.80000, -6.40000,  0.35618
20.00000, 10.80000, -6.00000,  0.87594
20.00000, 10.80000, -5.60000,  0.77394
20.00000, 10.80000, -5.20000,  0.71662
20.00000, 10.80000, -4.80000,  0.95710
20.00000, 10.80000, -4.40000,  0.49443
20.00000, 10.80000, -4.00000,  0.78923
20.00000, 10.80000, -3.60000,  0.42369
20.00000, 10.80000, -3.20000,  0.38587
20.00000, 10.80000, -2.80000,  0.46590
20.00000, 10.80000, -2.40000,  0.24962
20.00000, 10.80000, -2.00000,  0.40329
20.00000, 10.80000, -1.60000,  0.87200
20.00000, 10.80000, -1.20000,  0.62319
20.00000, 10.80000, -0.80000,  0.82934
20.00000, 10.80000, -0.40000,  0.51623
20.00000, 10.80000,  0.00000, -0.07748
