# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
 0.00000, 10.00000,  0.00000, -0.96296
 0.40000, 10.00000,  0.00000, -0.95058
 0.80000, 10.00000,  0.00000, -0.95461
 1.20000, 10.00000,  0.00000, -0.96359
 1.60000, 10.00000,  0.00000, -0.95046
 2.00000, 10.00000,  0.00000, -0.96880
 2.40000, 10.00000,  0.00000, -0.96087
 2.80000, 10.00000,  0.00000, -0.95784
 3.20000, 10.00000,  0.00000, -0.93414
 3.60000, 10.00000,  0.00000, -0.92714
 4.00000, 10.00000,  0.00000, -0.87057
 4.40000, 10.00000,  0.00000, -0.85629
 4.80000, 10.00000,  0.00000, -0.85805
 5.20000, 10.00000,  0.00000, -0.77559
 5.60000, 10.00000,  0.00000, -0.77421
 6.00000, 10.00000,  0.00000, -0.68543
 6.40000, 10.00000,  0.00000, -0.65717
 6.80000, 10.00000,  0.00000, -0.58288
 7.20000, 10.00000,  0.00000, -0.57010
 7.60000, 10.00000,  0.00000, -0.51556
 8.00000, 10.00000,  0.00000, -0.63736
 8.40000, 10.00000,  0.00000, -0.59943
 8.80000, 10.00000,  0.00000, -0.44574
 9.20000, 10.00000,  0.00000, -0.44466
 9.60000, 10.00000,  0.00000, -0.48559
10.00000, 10.00000,  0.00000, -0.51239
10.40000, 10.00000,  0.00000, -0.48213
10.80000, 10.00000,  0.00000, -0.20966
11.20000, 10.00000,  0.00000, -0.26392
11.60000, 10.00000,  0.00000, -0.46887
12.00000, 10.00000,  0.00000, -0.43471
12.40000, 10.00000,  0.00000, -0.42020
12.80000, 10.00000,  0.00000, -0.14975
13.20000, 10.00000,  0.00000, -0.11260
13.60000, 10.00000,  0.00000,  0.04241
14.00000, 10.00000,  0.00000, -0.02922
14.40000, 10.00000,  0.00000, -0.31002
14.80000, 10.00000,  0.00000, -0.23768
15.20000, 10.00000,  0.00000, -0.02651
15.60000, 10.00000,  0.00000, -0.10605
16.00000, 10.00000,  0.00000,  0.05136
16.40000, 10.00000,  0.00000,  0.20210
16.80000, 10.00000,  0.00000, -0.03346
17.20000, 10.00000,  0.00000, -0.00310
17.60000, 10.00000,  0.00000,  0.25425
18.00000, 10.00000,  0.00000,  0.25685
18.40000, 10.00000,  0.00000, -0.04183
18.80000, 10.00000,  0.00000,  0.46190
19.20000, 10.00000,  0.00000, -0.03801
19.60000, 10.00000,  0.00000,  0.14360
20.00000, 10.00000,  0.00000,  0.59284
20.40000, 10.00000,  0.00000,  0.50411
20.80000, 10.00000,  0.00000,  0.17535
21.20000, 10.00000,  0.00000,  0.24084
21.60000, 10.00000,  0.00000,  0.07642
22.00000, 10.00000,  0.00000,  0.38787
22.40000, 10.00000,  0.00000,  0.11980
22.80000, 10.00000,  0.00000,  0.12737
23.20000, 10.00000,  0.00000,  0.81449
23.60000, 10.00000,  0.00000,  0.24298
24.00000, 10.00000,  0.00000,  0.78918
24.40000, 10.00000,  0.00000,  0.81534
24.80000, 10.00000,  0.00000,  0.23741
25.20000, 10.00000,  0.00000,  0.78937
25.60000, 10.00000,  0.00000,  0.36807
26.00000, 10.00000,  0.00000,  0.71089
26.40000, 10.00000,  0.00000,  0.92425
26.80000, 10.00000,  0.00000,  0.68263
27.20000, 10.00000,  0.00000,  0.66548
27.60000, 10.00000,  0.00000,  0.32969
28.00000, 10.00000,  0.00000,  0.27652
28.40000, 10.00000,  0.00000,  0.82837
28.80000, 10.00000,  0.00000,  0.79831
29.20000, 10.00000,  0.00000,  0.36670
29.60000, 10.00000,  0.00000,  0.74287
30.00000, 10.00000,  0.00000,  0.81375
30.40000, 10.00000,  0.00000,  0.49684
30.80000, 10.00000,  0.00000,  0.21367
