# simulation timestep (model parameter for iterated-map models) in seconds = 1.000
#     s[m],   v[m/s],  dv[m/s], acc[m/s^2]
 0.00000, 10.00000,  0.00000, -15.38462
 0.40000, 10.00000,  0.00000, -15.38462
 0.80000, 10.00000,  0.00000, -15.38462
 1.20000, 10.00000,  0.00000, -15.38462
 1.60000, 10.00000,  0.00000, -15.38462
 2.00000, 10.00000,  0.00000, -15.38462
 2.40000, 10.00000,  0.00000, -15.38462
 2.80000, 10.00000,  0.00000, -15.38462
 3.20000, 10.00000,  0.00000, -15.31898
 3.60000, 10.00000,  0.00000, -15.18287
 4.00000, 10.00000,  0.00000, -15.04009
 4.40000, 10.00000,  0.00000, -14.89035
 4.80000, 10.00000,  0.00000, -14.73336
 5.20000, 10.00000,  0.00000, -14.56881
 5.60000, 10.00000,  0.00000, -14.39641
 6.00000, 10.00000,  0.00000, -14.21583
 6.40000, 10.00000,  0.00000, -14.02676
 6.80000, 10.00000,  0.00000, -13.82888
 7.20000, 10.00000,  0.00000, -13.62185
 7.60000, 10.00000,  0.00000, -13.40533
 8.00000, 10.00000,  0.00000, -13.17900
 8.40000, 10.00000,  0.00000, -12.94251
 8.80000, 10.00000,  0.00000, -12.69553
 9.20000, 10.00000,  0.00000, -12.43770
 9.60000, 10.00000,  0.00000, -12.16870
10.00000, 10.00000,  0.00000, -11.88819
10.40000, 10.00000,  0.00000, -11.59584
10.80000, 10.00000,  0.00000, -11.29133
11.20000, 10.00000,  0.00000, -10.97434
11.60000, 10.00000,  0.00000, -10.64457
12.00000, 10.00000,  0.00000, -10.30172
12.40000, 10.00000,  0.00000, -9.94553
12.80000, 10.00000,  0.00000, -9.57572
13.20000, 10.00000,  0.00000, -9.19207
13.60000, 10.00000,  0.00000, -8.79436
14.00000, 10.00000,  0.00000, -8.38239
14.40000, 10.00000,  0.00000, -7.95601
14.80000, 10.00000,  0.00000, -7.51508
15.20000, 10.00000,  0.00000, -7.05951
15.60000, 10.00000,  0.00000, -6.58923
16.00000, 10.00000,  0.00000, -6.10421
16.40000, 10.00000,  0.00000, -5.60449
16.80000, 10.00000,  0.00000, -5.09012
17.20000, 10.00000,  0.00000, -4.56121
17.60000, 10.00000,  0.00000, -4.01792
18.00000, 10.00000,  0.00000, -3.46047
18.40000, 10.00000,  0.00000, -2.88910
18.80000, 10.00000,  0.00000, -2.30415
19.20000, 10.00000,  0.00000, -1.70597
19.60000, 10.00000,  0.00000, -1.09500
20.00000, 10.00000,  0.00000, -0.47171
20.40000, 10.00000,  0.00000,  0.16335
20.80000, 10.00000,  0.00000,  0.80960
21.20000, 10.00000,  0.00000,  1.46640
21.60000, 10.00000,  0.00000,  2.13304
22.00000, 10.00000,  0.00000,  2.80878
22.40000, 10.00000,  0.00000,  3.49283
22.80000, 10.00000,  0.00000,  4.18435
23.20000, 10.00000,  0.00000,  4.88247
23.60000, 10.00000,  0.00000,  5.58628
24.00000, 10.00000,  0.00000,  6.29483
24.40000, 10.00000,  0.00000,  7.00715
24.80000, 10.00000,  0.00000,  7.72226
25.20000, 10.00000,  0.00000,  8.43916
25.60000, 10.00000,  0.00000,  9.15681
26.00000, 10.00000,  0.00000,  9.87421
26.40000, 10.00000,  0.00000, 10.59034
26.80000, 10.00000,  0.00000, 11.30419
27.20000, 10.00000,  0.00000, 12.01475
27.60000, 10.00000,  0.00000, 12.72105
28.00000, 10.00000,  0.00000, 13.42212
28.40000, 10.00000,  0.00000, 14.11706
28.80000, 10.00000,  0.00000, 14.80495
29.20000, 10.00000,  0.00000, 15.48495
29.60000, 10.00000,  0.00000, 16.15623
30.00000, 10.00000,  0.00000, 16.81804
30.40000, 10.00000,  0.00000, 17.46965
30.80000, 10.00000,  0.00000, 18.11038
31.20000, 10.00000,  0.00000, 18.73963
31.60000, 10.00000,  0.00000, 19.35682
32.00000, 10.00000,  0.00000, 19.96145
32.40000, 10.00000,  0.00000, 20.55307
32.80000, 10.00000,  0.00000, 21.13127
33.20000, 10.00000,  0.00000, 21.69572
33.60000, 10.00000,  0.00000, 22.24612
34.00000, 10.00000,  0.00000, 22.78224
34.40000, 10.00000,  0.00000, 23.30389
34.80000, 10.00000,  0.00000, 23.81095
35.20000, 10.00000,  0.00000, 24.30333
35.60000, 10.00000,  0.00000, 24.78097
36.00000, 10.00000,  0.00000, 25.24390
36.40000, 10.00000,  0.00000, 25.69214
36.80000, 10.00000,  0.00000, 26.12578
37.20000, 10.00000,  0.00000, 26.54493
37.60000, 10.00000,  0.00000, 26.94975
38.00000, 10.00000,  0.00000, 27.34041
38.40000, 10.00000,  0.00000, 27.71711
38.80000, 10.00000,  0.00000, 28.08007
39.20000, 10.00000,  0.00000, 28.42956
39.60000, 10.00000,  0.00000, 28.76583
40.00000, 10.00000,  0.00000, 29.08918
40.40000, 10.00000,  0.00000, 29.39989
40.80000, 10.00000,  0.00000, 29.69828
41.20000, 10.00000,  0.00000, 29.98467
41.60000, 10.00000,  0.00000, 30.25938
42.00000, 10.00000,  0.00000, 30.52275
42.40000, 10.00000,  0.00000, 30.77512
42.80000, 10.00000,  0.00000, 31.01681
43.20000, 10.00000,  0.00000, 31.24818
43.60000, 10.00000,  0.00000, 31.46956
44.00000, 10.00000,  0.00000, 31.68129
44.40000, 10.00000,  0.00000, 31.88371
44.80000, 10.00000,  0.00000, 32.07714
45.20000, 10.00000,  0.00000, 32.26193
45.60000, 10.00000,  0.00000, 32.43838
46.00000, 10.00000,  0.00000, 32.60681
46.40000, 10.00000,  0.00000, 32.76754
46.80000, 10.00000,  0.00000, 32.92087
47.20000, 10.00000,  0.00000, 33.06710
47.60000, 10.00000,  0.00000, 33.20651
48.00000, 10.00000,  0.00000, 33.33938
48.40000, 10.00000,  0.00000, 33.46599
48.80000, 10.00000,  0.00000, 33.58661
49.20000, 10.00000,  0.00000, 33.70148
49.60000, 10.00000,  0.00000, 33.81087
50.00000, 10.00000,  0.00000, 33.91500
50.40000, 10.00000,  0.00000, 34.01411
50.80000, 10.00000,  0.00000, 34.10842
51.20000, 10.00000,  0.00000, 34.19815
51.60000, 10.00000,  0.00000, 34.28351
52.00000, 10.00000,  0.00000, 34.36470
52.40000, 10.00000,  0.00000, 34.44190
52.80000, 10.00000,  0.00000, 34.51530
53.20000, 10.00000,  0.00000, 34.58508
53.60000, 10.00000,  0.00000, 34.65140
54.00000, 10.00000,  0.00000, 34.71444
54.40000, 10.00000,  0.00000, 34.77435
54.80000, 10.00000,  0.00000, 34.83126
55.20000, 10.00000,  0.00000, 34.88534
55.60000, 10.00000,  0.00000, 34.93671
56.00000, 10.00000,  0.00000, 34.98550
56.40000, 10.00000,  0.00000, 35.03185
56.80000, 10.00000,  0.00000, 35.07586
57.20000, 10.00000,  0.00000, 35.11765
57.60000, 10.00000,  0.00000, 35.15733
58.00000, 10.00000,  0.00000, 35.19501
58.40000, 10.00000,  0.00000, 35.23078
58.80000, 10.00000,  0.00000, 35.26474
59.20000, 10.00000,  0.00000, 35.29697
59.60000, 10.00000,  0.00000, 35.32757
60.00000, 10.00000,  0.00000, 35.35660
60.40000, 10.00000,  0.00000, 35.38416
60.80000, 10.00000,  0.00000, 35.41032
61.20000, 10.00000,  0.00000, 35.43514
61.60000, 10.00000,  0.00000, 35.45869
62.00000, 10.00000,  0.00000, 35.48104
62.40000, 10.00000,  0.00000, 35.50224
62.80000, 10.00000,  0.00000, 35.52236
63.20000, 10.00000,  0.00000, 35.54145
63.60000, 10.00000,  0.00000, 35.55956
64.00000, 10.00000,  0.00000, 35.57674
64.40000, 10.00000,  0.00000, 35.59304
64.80000, 10.00000,  0.00000, 35.60850
65.20000, 10.00000,  0.00000, 35.62317
65.60000, 10.00000,  0.00000, 35.63708
66.00000, 10.00000,  0.00000, 35.65027
66.40000, 10.00000,  0.00000, 35.66279
66.80000, 10.00000,  0.00000, 35.67466
67.20000, 10.00000,  0.00000, 35.68592
67.60000, 10.00000,  0.00000, 35.69660
68.00000, 10.00000,  0.00000, 35.70673
68.40000, 10.00000,  0.00000, 35.71634
68.80000, 10.00000,  0.00000, 35.72545
69.20000, 10.00000,  0.00000, 35.73409
69.60000, 10.00000,  0.00000, 35.74228
70.00000, 10.00000,  0.00000, 35.75006

 0.00000, 10.40000,  0.00000, -16.00000
 0.40000, 10.40000,  0.00000, -16.00000
 0.80000, 10.40000,  0.00000, -16.00000
 1.20000, 10.40000,  0.00000, -16.00000
 1.60000, 10.40000,  0.00000, -16.00000
 2.00000, 10.40000,  0.00000, -16.00000
 2.40000, 10.40000,  0.00000, -16.00000
 2.80000, 10.40000,  0.00000, -16.00000
 3.20000, 10.40000,  0.00000, -15.93436
 3.60000, 10.40000,  0.00000, -15.79825
 4.00000, 10.40000,  0.00000, -15.65547
 4.40000, 10.40000,  0.00000, -15.50573
 4.80000, 10.40000,  0.00000, -15.34874
 5.20000, 10.40000,  0.00000, -15.18420
 5.60000, 10.40000,  0.00000, -15.01179
 6.00000, 10.40000,  0.00000, -14.83122
 6.40000, 10.40000,  0.00000, -14.64215
 6.80000, 10.40000,  0.00000, -14.44426
 7.20000, 10.40000,  0.00000, -14.23723
 7.60000, 10.40000,  0.00000, -14.02072
 8.00000, 10.40000,  0.00000, -13.79439
 8.40000, 10.40000,  0.00000, -13.55790
 8.80000, 10.40000,  0.00000, -13.31091
